"Rank","Distributor","Movies","Gross","Tickets","Share","Year"
99,"National Geographic Entertainment",1,45096,4923,0,2019
100,"Grasshopper Film",2,43916,4794,0,2019
101,"Freestyle Releasing",1,43059,4700,0,2019
102,"Screen Media Films",2,35246,3847,0,2019
103,"in8 Releasing",1,32413,3538,0,2019
104,"Altered Innocence",1,31969,3490,0,2019
105,"IFC Midnight",1,28611,3123,0,2019
106,"KimStim",2,27229,2972,0,2019
107,"Monument Releasing",2,25689,2804,0,2019
108,"Cinema Libre",3,18593,2028,0,2019
109,"Joma Films",1,18356,2003,0,2019
110,"Excel Entertainment",1,17405,1900,0,2019
111,"Vertical Entertainment",1,14500,1582,0,2019
112,"Super LTD",1,13688,1494,0,2019
113,"Doppelganger Releasing",1,13253,1446,0,2019
114,"Arrow Releasing",1,8320,908,0,2019
115,"Breakthrough Entertainment",1,7692,839,0,2019
116,"CFI",1,6745,736,0,2019
117,"Zipporah",1,5738,626,0,2019
118,"Shout! Factory",1,4332,472,0,2019
119,"Sumbadhat Productions",1,3919,427,0,2019
120,"Fleetwood Films",1,437,47,0,2019
