"Rank","Distributor","Movies","Gross","Tickets","Share","Year"
1,"Walt Disney",13,3742497656,408569611,33.34,2019
2,"Warner Bros.",27,1561538058,170473589,13.91,2019
3,"Universal",22,1302860150,142233640,11.61,2019
4,"Sony Pictures",23,1297113424,141606261,11.55,2019
5,"Lionsgate",21,797851162,87101645,7.11,2019
6,"Paramount Pictures",11,563908126,61562018,5.02,2019
7,"20th Century Fox",13,492158921,53729133,4.38,2019
8,"STX Entertainment",10,318803265,34803845,2.84,2019
9,"Focus Features",11,211770889,23119093,1.89,2019
10,"United Artists",6,210340105,22962891,1.87,2019
11,"A24",13,107420363,11727108,0.96,2019
12,"Fox Searchlight",9,77858528,8499835,0.69,2019
13,"Roadside Attractions",10,54577477,5958235,0.49,2019
14,"Neon",11,50202933,5480663,0.45,2019
15,"Entertainment Studios Motion Pictures",4,32699249,3569785,0.29,2019
16,"Amazon Studios",9,30751390,3357134,0.27,2019
17,"FUNimation",1,30376755,3316239,0.27,2019
18,"Annapurna Pictures",3,29900553,3264251,0.27,2019
19,"Sony Pictures Classics",17,23559760,2572021,0.21,2019
20,"Aviron Pictures",3,20695708,2259355,0.18,2019
21,"Bleecker Street",6,19612529,2141103,0.17,2019
22,"SDG Releasing",1,19005109,2074793,0.17,2019
23,"Greenwich",13,14965009,1633728,0.13,2019
24,"FIP",9,14937832,1630763,0.13,2019
25,"Orion Pictures",1,14856291,1621865,0.13,2019
26,"Well Go USA",23,12830609,1400711,0.11,2019
27,"Trafalgar Releasing",16,12126648,1323862,0.11,2019
28,"CMC Pictures",4,8439922,921387,0.08,2019
29,"Yash Raj Films",4,7227573,789035,0.06,2019
30,"Viva Entertainment",2,6901348,753421,0.06,2019
31,"IFC Films",22,6462961,705553,0.06,2019
32,"101 Studios",1,5978673,652693,0.05,2019
33,"Magnolia Pictures",19,5817737,635114,0.05,2019
34,"Fathom Events",5,5247090,572824,0.05,2019
35,"OTL Releasing",1,5215062,569330,0.05,2019
36,"CBS Films",2,5004377,546328,0.04,2019
37,"PackYourBag Films",3,4292412,468603,0.04,2019
38,"Reliance Entertainment",3,3718080,405902,0.03,2019
39,"ShortsHD",1,3531093,385490,0.03,2019
40,"Entertainment One",3,2908613,317533,0.03,2019
41,"GKIDS",10,2791090,304701,0.02,2019
42,"CJ Entertainment",7,2775233,302971,0.02,2019
43,"ArtAffects",2,2017106,220207,0.02,2019
44,"Kino Lorber",21,1874952,204679,0.02,2019
45,"Zee Studios",1,1861000,203165,0.02,2019
46,"Indican Pictures",19,1573192,171735,0.01,2019
47,"Area 23a",1,1444604,157707,0.01,2019
48,"Briarcliff Entertainment",1,1400603,152904,0.01,2019
49,"Music Box Films",8,1293077,141162,0.01,2019
50,"Atlas Distribution",3,1277590,139473,0.01,2019
51,"Purdie Distribution",2,1272998,138972,0.01,2019
52,"Abramorama Films",11,1225214,133751,0.01,2019
53,"Gunpowder & Sky",3,1055051,115178,0.01,2019
54,"Cohen Media Group",9,993648,108473,0.01,2019
55,"China Lion Film Distribution",5,943533,103003,0.01,2019
56,"The Orchard",4,886803,96810,0.01,2019
57,"IMAX Films",1,850000,92794,0.01,2019
58,"Oscilloscope Pictures",10,846907,92450,0.01,2019
59,"Gravitas Ventures",4,811345,88572,0.01,2019
60,"1091 Media",5,734336,80165,0.01,2019
61,"ESX Entertainment",1,725042,79153,0.01,2019
62,"Self Distributed",7,675932,73789,0.01,2019
63,"PBS Distribution",2,644450,70354,0.01,2019
64,"Blue Fox Entertainment",5,544066,59393,0,2019
65,"The Ciesla Foundation",1,519525,56716,0,2019
66,"P12 Films",1,481924,52611,0,2019
67,"Rialto Pictures",8,452323,49376,0,2019
68,"Film Movement",19,429200,46846,0,2019
69,"Janus Films",9,414500,45248,0,2019
70,"Ledafilms",1,400498,43722,0,2019
71,"Strand Releasing",9,367998,40169,0,2019
72,"Zeitgeist",8,300845,32840,0,2019
73,"BritBox",1,299745,32723,0,2019
74,"Film Arcade",2,263665,28783,0,2019
75,"Good Deed Entertainment",2,256255,27975,0,2019
76,"RLJ Entertainment",1,252293,27542,0,2019
77,"Smith Global Media",1,251917,27501,0,2019
78,"Distrib Films",7,229264,25025,0,2019
79,"Eros Entertainment",1,227714,24859,0,2019
80,"Cinema Guild",9,212901,23239,0,2019
81,"Five & Two Pictures",1,207663,22671,0,2019
82,"Santa Rita Film Co",1,204881,22366,0,2019
83,"O’Malley Creadon Productions",1,204709,22348,0,2019
84,"MGM",1,177000,19323,0,2019
85,"Variance Films",1,175559,19165,0,2019
86,"Sundance Selects",1,145626,15898,0,2019
87,"Metrograph Pictures",1,104785,11439,0,2019
88,"Dada Films",1,99958,10912,0,2019
89,"Citadel",1,86858,9482,0,2019
90,"Matson",2,84732,9249,0,2019
91,"GVN Releasing",1,83891,9158,0,2019
92,"Nocturnal Features",2,72000,7860,0,2019
93,"Round Hill Media",1,71609,7817,0,2019
94,"Shudder",1,52406,5721,0,2019
95,"Utopia",1,50250,5485,0,2019
96,"Lurker Films",1,50168,5476,0,2019
97,"First Run Features",5,47641,5198,0,2019
98,"Big World Pictures",3,47615,5197,0,2019
