"","title","release_date","title_clean","title_clean_match"
"111","May December","2023-11-30","may december","may december"
"112","RENAISSANCE: A FILM BY BEYONCE","2023-12-01","renaissance a film by beyonce","renaissance a film by beyonce"
"113","Wonka","2023-12-07","wonka","wonka"
"114","Hypnotic","2023-12-07","hypnotic","hypnotic"
"115","Maestro","2023-12-07","maestro","maestro"
"116","Migration","2023-12-14","migration","migration"
"117","Silent Night","2023-12-14","silent night","silent night"
"118","All Fun and Games","2023-12-14","all fun and games","all fun and games"
"119","Fool's Paradise","2023-12-14","fools paradise","fools paradise"
"120","Aquaman and the Lost Kingdom","2023-12-21","aquaman and the lost kingdom","aquaman and the lost kingdom"
"121","Sound of Freedom","2023-12-21","sound of freedom","sound of freedom"
"122","It's a Wonderful Knife","2023-12-21","its a wonderful knife","its a wonderful knife"
"123","Anyone But You","2023-12-28","anyone but you","anyone but you"
"124","Next Goal Wins","2023-12-28","next goal wins","next goal wins"
