"","title","release_date","title_clean","title_clean_match"
"1","Grudge, The","2020-01-01","the grudge","the grudge"
"2","Richard Jewell","2020-01-02","richard jewell","richard jewell"
"3","Plus One","2020-01-02","plus one","plus one"
"4","Dark Waters","2020-01-09","dark waters","dark waters"
"5","Primal","2020-01-09","primal","primal"
"6","Farewell, The","2020-01-09","the farewell","the farewell"
"7","Bad Boys For Life","2020-01-16","bad boys for life","bad boys for life"
"8","Dolittle","2020-01-16","dolittle","dolittle"
"9","Just Mercy","2020-01-16","just mercy","just mercy"
"10","1917","2020-01-23","1917","1917"
"11","Bombshell","2020-01-23","bombshell","bombshell"
"12","Disturbing The Peace","2020-01-23","disturbing the peace","disturbing the peace"
"13","Wedding Year, The","2020-01-23","the wedding year","the wedding year"
"14","Little Women","2020-01-30","little women","little women"
"15","Jojo Rabbit","2020-01-30","jojo rabbit","jojo rabbit"
"16","Turning, The","2020-01-30","the turning","the turning"
"17","Birds Of Prey (And The Fantabulous Emancipation Of One Harley Quinn)","2020-02-06","birds of prey and the fantabulous emancipation of one harley quinn","birds of prey and the fantabulous emancipation of one harley quinn"
"18","Lying And Stealing","2020-02-06","lying and stealing","lying and stealing"
"19","Thriller","2020-02-06","thriller","thriller"
"20","Bigger","2020-02-06","bigger","bigger"
"21","Sonic The Hedgehog","2020-02-13","sonic the hedgehog","sonic the hedgehog"
"22","Blumhouse's Fantasy Island","2020-02-13","blumhouses fantasy island","blumhouses fantasy island"
"23","Lighthouse, The (2019)","2020-02-14","lighthouse the","lighthouse the"
"24","Call of the Wild, The","2020-02-20","the call of the wild","the call of the wild"
"25","Gretel And Hansel","2020-02-20","gretel and hansel","gretel and hansel"
"26","Trauma Center","2020-02-20","trauma center","trauma center"
"27","Gentlemen, The","2020-02-27","the gentlemen","the gentlemen"
"28","Brahms: The Boy II","2020-02-27","brahms the boy ii","brahms the boy ii"
"29","Like A Boss","2020-02-27","like a boss","like a boss"
"30","Onward","2020-03-05","onward","onward"
"31","Invisible Man, The (2020)","2020-03-05","invisible man the","invisible man the"
"32","I See You (2019)","2020-03-05","i see you","i see you"
"33","Last Full Measure, The","2020-03-05","the last full measure","the last full measure"
"34","Wolf Hour, The","2020-03-06","the wolf hour","the wolf hour"
"35","Bloodshot","2020-03-12","bloodshot","bloodshot"
"36","Way Back, The (2020)","2020-03-12","way back the","way back the"
"37","Family Romance, LLC","2020-03-12","family romance llc","family romance llc"
"38","Galveston","2020-03-12","galveston","galveston"
"39","Vault","2020-03-12","vault","vault"
"40","My Spy","2020-06-10","my spy","my spy"
"41","Give Me Liberty","2020-06-11","give me liberty","give me liberty"
"42","Night Clerk, The","2020-07-02","the night clerk","the night clerk"
"43","Survive The Night","2020-07-09","survive the night","survive the night"
"44","Burden (2020)","2020-07-09","burden","burden"
"45","Burnt Orange Heresy, The","2020-07-09","the burnt orange heresy","the burnt orange heresy"
"46","Arkansas","2020-07-16","arkansas","arkansas"
"47","Becky","2020-07-23","becky","becky"
"48","Ophelia","2020-07-23","ophelia","ophelia"
"49","Capone","2020-07-30","capone","capone"
"50","Think Like A Dog","2020-07-30","think like a dog","think like a dog"
"51","Scoob!","2020-08-06","scoob","scoob"
"52","Outpost, The (2020)","2020-08-06","outpost the","outpost the"
"53","High Note, The (2020)","2020-08-06","high note the","high note the"
"54","Endless","2020-08-13","endless","endless"
"55","Secret: Dare To Dream, The","2020-08-20","the secret dare to dream","the secret dare to dream"
"56","Force Of Nature (2020)","2020-08-20","force of nature","force of nature"
"57","I Still Believe","2020-08-20","i still believe","i still believe"
"58","King of Staten Island, The","2020-08-20","the king of staten island","the king of staten island"
"59","Tenet","2020-08-26","tenet","tenet"
"60","New Mutants, The","2020-08-26","the new mutants","the new mutants"
"61","After We Collided","2020-09-02","after we collided","after we collided"
"62","Unhinged","2020-09-10","unhinged","unhinged"
"63","Rental, The","2020-09-17","the rental","the rental"
"64","Greenland","2020-09-24","greenland","greenland"
"65","Broken Hearts Gallery, The","2020-09-24","the broken hearts gallery","the broken hearts gallery"
"66","Antebellum","2020-10-01","antebellum","antebellum"
"67","Inheritance (2020)","2020-10-08","inheritance","inheritance"
"68","Ava","2020-10-22","ava","ava"
"69","Bill & Ted Face The Music","2020-10-22","bill and ted face the music","bill and ted face the music"
"70","Honest Thief","2020-10-29","honest thief","honest thief"
"71","Trolls World Tour","2020-10-29","trolls world tour","trolls world tour"
"72","Come Play","2020-10-29","come play","come play"
"73","Witches, The","2020-10-29","the witches","the witches"
"74","Craft: Legacy, The","2020-10-29","the craft legacy","the craft legacy"
"75","Superintelligence","2020-12-03","superintelligence","superintelligence"
"76","Jiu Jitsu","2020-12-10","jiu jitsu","jiu jitsu"
"77","Wonder Woman 1984","2020-12-16","wonder woman 1984","wonder woman 1984"
"78","Follow Me","2020-12-23","follow me","follow me"
"79","Love, Weddings & Other Disasters","2020-12-30","love weddings and other disasters","love weddings and other disasters"
