"Rank","Distributor","Movies","Gross_2024","Tickets","Share","Year"
1,"Walt Disney",12,1841856654,162852044,21.37,2024
2,"Universal",16,1741704170,153996831,20.21,2024
3,"Warner Bros.",14,1152533089,101903898,13.37,2024
4,"Sony Pictures",35,954798405,84420710,11.08,2024
5,"Paramount Pictures",12,880429362,77845214,10.21,2024
6,"Amazon MGM Studios",12,302353837,26733312,3.51,2024
7,"20th Century Studios",3,296536058,26218925,3.44,2024
8,"Lionsgate",17,251359290,22224510,2.92,2024
9,"A24",19,211528136,18702744,2.45,2024
10,"Focus Features",13,142944580,12638777,1.66,2024
11,"Neon",18,134626004,11903264,1.56,2024
12,"Fathom Events",22,99338066,8783196,1.15,2024
13,"Searchlight Pictures",5,69205414,6118958,0.8,2024
14,"Angel Studios",7,68087413,6020104,0.79,2024
15,"Iconic/Cineverse",1,53981071,4772862,0.63,2024
16,"Prathyangira Cinemas",7,46333871,4096715,0.54,2024
17,"Crunchyroll",9,35054317,3099404,0.41,2024
18,"ShowBiz Direct",1,29397140,2599216,0.34,2024
19,"Bleecker Street",10,23289836,2059219,0.27,2024
20,"IFC Films",21,22604010,1998577,0.26,2024
21,"MUBI",11,17523257,1549354,0.2,2024
22,"Roadside Attractions",15,16735698,1479719,0.19,2024
23,"Toho International",2,16606038,1468260,0.19,2024
24,"GKIDS",10,16574667,1465483,0.19,2024
25,"20th Century Fox",4,15825401,1399239,0.18,2024
26,"SDG Releasing",2,13683689,1209874,0.16,2024
27,"Sony Pictures Classics",14,13528642,1196159,0.16,2024
28,"Vertical Entertainment",6,10755875,951002,0.12,2024
29,"Magnolia Pictures",16,9617741,850367,0.11,2024
30,"Trafalgar Releasing",4,7848728,693962,0.09,2024
31,"Well Go USA",17,7060135,624229,0.08,2024
32,"Briarcliff Entertainment",4,6558451,579879,0.08,2024
33,"Janus Films",19,6168304,545373,0.07,2024
34,"Samuel Goldwyn Films",4,5238766,463196,0.06,2024
35,"Abramorama Films",1,4800000,424403,0.06,2024
36,"The Avenue Entertainment",1,4620045,408492,0.05,2024
37,"ShortsHD",1,3162293,279601,0.04,2024
38,"Magenta Light Studios",1,3083595,272643,0.04,2024
39,"Mucho Mas Media",1,3060040,270560,0.04,2024
40,"Viva Pictures",2,2750795,243217,0.03,2024
41,"Blue Fox Entertainment",11,2502213,221232,0.03,2024
42,"Nirvana Studios",1,2300000,203359,0.03,2024
43,"Ketchup Entertainment",3,2262845,200073,0.03,2024
44,"Shree Krishna Film",1,2230000,197170,0.03,2024
45,"Moviegoers Entertainment",1,2190000,193633,0.03,2024
46,"Oscilloscope Pictures",10,2021273,178711,0.02,2024
47,"IMAX Films",1,2e+06,176834,0.02,2024
48,"Susan Tuckett Media",1,1997845,176644,0.02,2024
49,"Atlas Distribution",3,1849950,163565,0.02,2024
50,"White Hill Studios",1,1802000,159328,0.02,2024
51,"Funasia Films",1,1700000,150309,0.02,2024
52,"Kino Lorber",22,1428336,126276,0.02,2024
53,"Falling Forward Films",4,1310647,115881,0.02,2024
54,"Quiver",1,1193687,105542,0.01,2024
55,"Capelight Pictures",1,1154475,102075,0.01,2024
56,"Lyca Productions",1,1100000,97259,0.01,2024
57,"Purdie Distribution",5,1040477,91995,0.01,2024
58,"Greenwich",14,1026840,90783,0.01,2024
59,"Yash Raj Films",2,988849,87431,0.01,2024
60,"Utopia",10,907162,80203,0.01,2024
61,"AMC Theatres Distribution",2,866254,76591,0.01,2024
62,"Rialto Pictures",9,852680,75388,0.01,2024
63,"Republic Pictures",2,839228,74201,0.01,2024
64,"New Line",1,782514,69187,0.01,2024
65,"CJ4DPlex",1,714120,63140,0.01,2024
66,"SRH",1,624185,55188,0.01,2024
67,"Music Box Films",21,559215,49432,0.01,2024
68,"Film First",1,421657,37281,0,2024
69,"Iconic Releasing",1,417579,36921,0,2024
70,"Metrograph Pictures",3,388685,34365,0,2024
71,"Zeitgeist",2,295097,26091,0,2024
72,"LD Entertainment",1,268183,23712,0,2024
73,"Indican Pictures",15,260544,23029,0,2024
74,"Moksha Movies",1,229418,20284,0,2024
75,"Canonball Productions",1,227810,20142,0,2024
76,"Altered Innocence",1,213555,18881,0,2024
77,"Giant Pictures",1,202796,17930,0,2024
78,"EDGLRD",1,201351,17802,0,2024
79,"Level 33",2,191967,16972,0,2024
80,"Picturehouse",4,175442,15510,0,2024
81,"MTV Documentary Films",2,150844,13336,0,2024
82,"Dreamworks SKG",1,123485,10918,0,2024
83,"Magnet Releasing",7,120104,10616,0,2024
84,"Submarine Deluxe",2,119854,10597,0,2024
85,"National Geographic Documentary Films",1,112251,9924,0,2024
86,"Orion Pictures",1,91221,8065,0,2024
87,"Mongrel Media",3,77861,6882,0,2024
88,"Zipporah",1,76646,6776,0,2024
89,"Menemsha Entertainment",1,75358,6662,0,2024
90,"Area 23a",2,67206,5941,0,2024
91,"Pantelion Films",1,66432,5873,0,2024
92,"Panoramic Pictures",1,58193,5145,0,2024
93,"8 Above",1,50696,4482,0,2024
94,"Yellow Veil Pictures",1,49704,4394,0,2024
95,"Level Ground Productions",1,47883,4233,0,2024
96,"Freestyle Releasing",1,41443,3664,0,2024
97,"Hannover House",1,38254,3382,0,2024
98,"Shout! Factory",1,36878,3260,0,2024
99,"Miramax",1,35204,3112,0,2024
100,"Brainstorm Media",1,35040,3098,0,2024
101,"Drafthouse Films",1,30815,2724,0,2024
102,"Red Splat Productions",1,30027,2654,0,2024
103,"Cartilage Films",2,29677,2623,0,2024
104,"Film Movement",1,27332,2416,0,2024
105,"A Slice of Pie Productions",1,25267,2234,0,2024
106,"Tuckman Media",1,22011,1946,0,2024
107,"K Street Pictures",1,19900,1759,0,2024
108,"Holt Hamilton Distribution",2,16064,1419,0,2024
109,"Hiddenlight Productions",1,12830,1134,0,2024
110,"RLJ Entertainment",2,12513,1106,0,2024
111,"Big World Pictures",1,11507,1017,0,2024
112,"Tycor International Film Company",1,11355,1003,0,2024
113,"Aventura Entertainment",1,11251,994,0,2024
114,"Emblematic Pictures",1,8125,718,0,2024
115,"Outsider",1,4700,415,0,2024
116,"Cohen Media Group",1,3473,307,0,2024
