"Rank","Name","Domestic_Box_Office","Movies","Average"
148,"John Badham",573468670,14,40962048
149,"Jeff Fowler",573054474,3,191018158
150,"Joel Coen",572556430,19,30134549
151,"Andrew Davis",571872708,11,51988428
152,"Herbert Ross",571632141,20,28581607
153,"David Zucker",571466794,10,57146679
154,"Jan De Bont",571407071,6,95234512
155,"Phillip Noyce",565699585,16,35356224
156,"Malcolm D. Lee",563843895,13,43372607
157,"Jared Hess",563675307,8,70459413
158,"Betty Thomas",563123893,7,80446270
159,"Renny Harlin",560714106,29,19334969
160,"Scott Derrickson",555868607,12,46322384
161,"Dean DeBlois",555654405,5,111130881
162,"John G. Avildsen",552831770,15,36855451
163,"Norman Jewison",549765190,22,24989327
164,"Matthew Vaughn",546334713,8,68291839
165,"David O. Russell",536857583,14,38346970
166,"Michael Mann",533984143,14,38141725
167,"David Gordon Green",533708511,18,29650473
168,"John Woo",533310921,18,29628385
169,"Lasse Hallström",529512669,20,26475633
170,"Edward Zwick",524114236,14,37436731
171,"Steve Carr",515931411,10,51593141
172,"Nora Ephron",511970444,7,73138635
173,"Roger Allers",509427021,3,169809007
174,"Robert Schwentke",501857525,10,50185753
175,"Shane Black",500514580,6,83419097
176,"Simon West",497271590,14,35519399
177,"Brian Levant",496571336,10,49657134
178,"William Friedkin",494055109,19,26002900
179,"Patty Jenkins",493833654,4,123458414
180,"Chad Stahelski",493215552,9,54801728
181,"Josh Cooley",493136429,2,246568215
182,"Guillermo del Toro",489930876,14,34995063
183,"Judd Apatow",488548538,9,54283171
184,"Jerry Zucker",487778359,6,81296393
185,"Genndy Tartakovsky",485513250,5,97102650
186,"Garth Jennings",484139147,3,161379716
187,"Joseph McGinty Nichol",480446496,12,40037208
188,"Lana Wachowski",476377212,7,68053887
189,"Mark Waters",475228846,16,29701803
190,"Jordan Peele",474199595,4,118549899
191,"David Silverman",473284439,3,157761480
192,"Chris Miller",471980448,4,117995112
193,"John Lee Hancock",465394469,9,51710497
194,"Stephen Herek",465184822,19,24483412
195,"John Singleton",463532640,9,51503627
196,"Will Gluck",461402249,9,51266917
197,"Baz Luhrmann",461273671,6,76878945
198,"John Krasinski",460666773,5,92133355
199,"Rawson Marshall Thurber",460662129,9,51184681
200,"Jason Hand",460405297,1,460405297
201,"Dave Derrick Jr.",460405297,1,460405297
202,"Dana Ledoux Miller",460405297,1,460405297
203,"Paul W.S. Anderson",458349898,14,32739278
204,"Wolfgang Reitherman",456857419,6,76142903
205,"Roger Donaldson",450885551,18,25049197
206,"Peter Weir",450829916,12,37569160
207,"Paul Weitz",449810132,13,34600779
208,"Tim Johnson",449658165,5,89931633
209,"Cameron Crowe",449596729,10,44959673
210,"Adrian Lyne",447793921,10,44779392
211,"Juan Antonio Bayona",447639612,5,89527922
212,"Paul Verhoeven",446068538,13,34312964
213,"Steve Martino",446029693,4,111507423
214,"Nicholas Stoller",442761247,10,44276125
215,"George Roy Hill",442395860,12,36866322
216,"Donald Petrie",438222757,14,31301626
217,"Ryan Fleck",437103868,6,72850645
218,"Vicky Jenson",436171239,4,109042810
