"X","title","release_date","title_clean","title_clean_match"
86,"Robots","2024-08-22","robots","robots"
87,"Hellboy: The Crooked Man","2024-08-29","hellboy the crooked man","hellboy the crooked man"
88,"Longing","2024-08-29","longing","longing"
89,"Deliver Us","2024-08-29","deliver us","deliver us"
90,"Don't Turn Out the Lights","2024-08-29","dont turn out the lights","dont turn out the lights"
91,"Play Dead","2024-08-29","play dead","play dead"
92,"Beetlejuice Beetlejuice","2024-09-05","beetlejuice beetlejuice","beetlejuice beetlejuice"
93,"Land of Bad","2024-09-05","land of bad","land of bad"
94,"Daddio","2024-09-05","daddio","daddio"
95,"Speak No Evil","2024-09-12","speak no evil","speak no evil"
96,"Fast Charlie","2024-09-12","gun monkeys","gun monkeys"
97,"Reality","2024-09-12","reality","reality"
98,"Transformers One","2024-09-19","transformers one","transformers one"
99,"Never Let Go","2024-09-19","never let go","never let go"
100,"Lee","2024-09-26","lee","lee"
101,"Rob Peace","2024-09-26","rob peace","rob peace"
102,"Joker: Folie à Deux","2024-10-03","joker folie deux","joker folie deux"
103,"Wild Robot, The","2024-10-10","the wild robot","the wild robot"
104,"Reagan","2024-10-10","reagan","reagan"
105,"In a Violent Nature","2024-10-10","in a violent nature","in a violent nature"
106,"Smile 2","2024-10-17","smile 2","smile 2"
107,"Megalopolis","2024-10-17","megalopolis","megalopolis"
108,"Venom: The Last Dance","2024-10-24","venom the last dance","venom the last dance"
109,"Goodrich","2024-10-24","goodrich","goodrich"
110,"Anora","2024-10-31","anora","anora"
111,"Red One","2024-11-07","red one","red one"
112,"Conclave","2024-11-07","conclave","conclave"
113,"Terrifier 3","2024-11-07","terrifier 3","terrifier 3"
114,"Here After","2024-11-07","here after","here after"
115,"Gladiator II","2024-11-14","gladiator ii","gladiator ii"
116,"Heretic","2024-11-21","heretic","heretic"
117,"Elevation","2024-11-21","elevation","elevation"
118,"Moana 2","2024-11-28","moana 2","moana 2"
119,"Bagman","2024-11-28","bagman","bagman"
120,"Red Right Hand","2024-11-28","red right hand","red right hand"
121,"Poolman","2024-11-28","poolman","poolman"
122,"Wicked","2024-12-05","wicked","wicked"
123,"Baby The Rain Must Fall","2024-12-05","baby the rain must fall","baby the rain must fall"
124,"Kraven the Hunter","2024-12-12","kraven the hunter","kraven the hunter"
125,"Lord of the Rings: The War of the Rohirrim","2024-12-12","lord of the rings the war of the rohirrim","lord of the rings the war of the rohirrim"
126,"Ezra","2024-12-12","ezra","ezra"
127,"Sasquatch Sunset","2024-12-12","sasquatch sunset","sasquatch sunset"
128,"Mufasa: The Lion King","2024-12-18","mufasa the lion king","mufasa the lion king"
129,"Sonic The Hedgehog 3","2024-12-26","sonic the hedgehog 3","sonic the hedgehog 3"
130,"Babygirl","2024-12-26","babygirl","babygirl"
131,"Here","2024-12-26","here","here"
