"X","title","release_date","title_clean","title_clean_match"
41,"Fortress (2021)","2022-04-28","fortress","fortress"
42,"Doctor Strange in the Multiverse of Madness","2022-05-05","doctor strange in the multiverse of madness","doctor strange in the multiverse of madness"
43,"Reel Rock 16","2022-05-05","reel rock 16","reel rock 16"
44,"Last Looks","2022-05-12","last looks","last looks"
45,"After Yang","2022-05-12","after yang","after yang"
46,"Memory (2022)","2022-05-19","memory","memory"
47,"Top Gun Maverick","2022-05-26","top gun maverick","top gun maverick"
48,"Marmaduke","2022-06-02","marmaduke","marmaduke"
49,"Jurassic World Dominion","2022-06-09","jurassic world dominion","jurassic world dominion"
50,"Lightyear","2022-06-16","lightyear","lightyear"
51,"Elvis","2022-06-23","elvis","elvis"
52,"Black Phone, The","2022-06-23","the black phone","the black phone"
53,"Deadlock (2021)","2022-06-23","deadlock","deadlock"
54,"Minions: The Rise Of Gru","2022-06-30","minions the rise of gru","minions the rise of gru"
55,"Last Seen Alive","2022-06-30","last seen alive","last seen alive"
56,"Thor: Love And Thunder","2022-07-07","thor love and thunder","thor love and thunder"
57,"Gray Man, The","2022-07-14","the gray man","the gray man"
58,"Black Site","2022-07-21","black site","black site"
59,"DC League of Super Pets","2022-07-28","dc league of super pets","dc league of super pets"
60,"American Siege","2022-07-28","american siege","american siege"
61,"Book of Love","2022-07-28","book of love","book of love"
62,"Bullet Train","2022-08-04","bullet train","bullet train"
63,"Men","2022-08-04","men","men"
64,"Easter Sunday","2022-08-04","easter sunday","easter sunday"
65,"Vigil, The","2022-08-11","the vigil","the vigil"
66,"Fortress: Sniper's Eye","2022-08-11","fortress snipers eye","fortress snipers eye"
67,"Nope","2022-08-18","nope","nope"
68,"Blacklight","2022-08-18","blacklight","blacklight"
69,"After Ever Happy (Event)","2022-08-24","after ever happy event","after ever happy event"
70,"Paradise Highway","2022-08-25","paradise highway","paradise highway"
71,"Beast","2022-09-01","beast","beast"
72,"Where The Crawdads Sing","2022-09-01","where the crawdads sing","where the crawdads sing"
73,"Ticket To Paradise","2022-09-15","ticket to paradise","ticket to paradise"
74,"Invitation, The","2022-09-15","the invitation","the invitation"
75,"Minamata","2022-09-15","minamata","minamata"
76,"Moonage Daydream","2022-09-15","moonage daydream","moonage daydream"
77,"Panama","2022-09-15","panama","panama"
78,"Effect of gamma rays on Man-in-the-Moon Marigolds, The (re 2017)","2022-09-15","effect of gamma rays on maninthemoon marigolds the re 2017","effect of gamma rays on maninthemoon marigolds the re 2017"
79,"Don't Worry Darling","2022-09-22","dont worry darling","dont worry darling"
80,"Smile (2022)","2022-09-29","smile","smile"
81,"Woman King, The","2022-10-05","the woman king","the woman king"
82,"Orphan: First Kill","2022-10-05","orphan first kill","orphan first kill"
83,"Halloween Ends","2022-10-13","halloween ends","halloween ends"
84,"Good House, The","2022-10-13","the good house","the good house"
85,"Black Adam","2022-10-20","black adam","black adam"
86,"Cinderella and the Little Sorcerer","2022-10-20","cinderella and the spellbinder","cinderella and the spellbinder"
87,"The Exorcism of God","2022-10-20","exorcismo de dios el","exorcismo de dios el"
88,"Lyle, Lyle, Crocodile","2022-10-27","lyle lyle crocodile","lyle lyle crocodile"
89,"Amsterdam","2022-10-27","amsterdam","amsterdam"
90,"Prey for the Devil","2022-10-27","prey for the devil","prey for the devil"
91,"Enforcer, The","2022-11-03","the enforcer","the enforcer"
92,"Fall","2022-11-03","fall","fall"
93,"Confess, Fletch","2022-11-03","confess fletch","confess fletch"
94,"Survive the Game","2022-11-03","survive the game","survive the game"
95,"Black Panther: Wakanda Forever","2022-11-10","black panther wakanda forever","black panther wakanda forever"
96,"She Said","2022-11-17","she said","she said"
97,"Cinderella And The Secret Prince","2022-11-17","cinderella and the secret prince","cinderella and the secret prince"
98,"Strange World","2022-11-24","strange world","strange world"
99,"Devotion","2022-11-24","devotion","devotion"
100,"Bros","2022-11-24","bros","bros"
101,"Guillermo del Toro's Pinocchio","2022-11-24","guillermo del toros pinocchio","guillermo del toros pinocchio"
102,"Menu, The","2022-12-01","the menu","the menu"
103,"Violent Night","2022-12-01","violent night","violent night"
104,"Poker Face","2022-12-01","poker face","poker face"
105,"Puss In Boots: The Last Wish","2022-12-08","puss in boots the last wish","puss in boots the last wish"
106,"White Noise","2022-12-08","white noise","white noise"
107,"Avatar: The Way of Water","2022-12-15","avatar the way of water","avatar the way of water"
108,"Fabelmans, The","2022-12-22","the fabelmans","the fabelmans"
109,"Whitney Houston: I Wanna Dance with Somebody","2022-12-22","whitney houston i wanna dance with somebody","whitney houston i wanna dance with somebody"
110,"Rock Dog 3 Battle the Beat","2022-12-22","rock dog 3 battle the beat","rock dog 3 battle the beat"
111,"Shotgun Wedding","2022-12-29","shotgun wedding","shotgun wedding"
112,"Bed Rest","2022-12-29","bed rest","bed rest"
1,"Wrong Place","2023-01-05","wrong place","wrong place"
2,"Man Called Otto, A","2023-01-12","a man called otto","a man called otto"
3,"M3GAN","2023-01-12","m3gan","m3gan"
4,"Plane","2023-01-12","plane","plane"
5,"Babylon","2023-01-19","babylon","babylon"
6,"Terrifier 2","2023-01-19","terrifier 2","terrifier 2"
7,"Operation Fortune: Ruse de Guerre","2023-01-26","operation fortune ruse de guerre","operation fortune ruse de guerre"
8,"Maybe I Do","2023-01-26","maybe i do","maybe i do"
9,"Son, The","2023-01-26","the son","the son"
10,"Knock at the Cabin","2023-02-02","knock at the cabin","knock at the cabin"
11,"Inspection, The","2023-02-02","the inspection","the inspection"
12,"Hot Seat","2023-02-02","hot seat","hot seat"
13,"Magic Mike's Last Dance","2023-02-09","magic mikes last dance","magic mikes last dance"
14,"TÁR","2023-02-09","tr","tr"
15,"Titanic 25 Year Anniversary","2023-02-09","titanic 25 year anniversary","titanic 25 year anniversary"
16,"Ant-Man and the Wasp: Quantumania","2023-02-16","antman and the wasp quantumania","antman and the wasp quantumania"
17,"To Leslie","2023-02-16","to leslie","to leslie"
18,"Missing (2023)","2023-02-23","missing","missing"
19,"Cocaine Bear","2023-02-23","cocaine bear","cocaine bear"
20,"Creed III","2023-03-02","creed iii","creed iii"
21,"Whale, The","2023-03-02","the whale","the whale"
22,"Scream VI","2023-03-09","scream vi","scream vi"
23,"65","2023-03-09","65","65"
24,"Paws of Fury: The Legend of Hank","2023-03-09","paws of fury the legend of hank","paws of fury the legend of hank"
25,"Women Talking","2023-03-09","women talking","women talking"
26,"Savage Salvation","2023-03-09","savage salvation","savage salvation"
27,"Ambush","2023-03-09","ambush","ambush"
28,"Shazam! Fury Of The Gods","2023-03-16","shazam fury of the gods","shazam fury of the gods"
29,"John Wick: Chapter 4","2023-03-23","john wick chapter 4","john wick chapter 4"
30,"Till","2023-03-23","till","till"
31,"Call Jane","2023-03-23","call jane","call jane"
32,"Dungeons & Dragons: Honor Among Thieves","2023-03-30","dungeons and dragons honor among thieves","dungeons and dragons honor among thieves"
33,"White Elephant","2023-03-30","white elephant","white elephant"
34,"Super Mario Bros. Movie, The","2023-04-05","the super mario bros movie","the super mario bros movie"
35,"Pope's Exorcist, The","2023-04-13","the popes exorcist","the popes exorcist"
36,"Beautiful Disaster (Vertical)","2023-04-13","beautiful disaster vertical","beautiful disaster vertical"
37,"Air (2023)","2023-04-13","air","air"
38,"Evil Dead Rise","2023-04-20","evil dead rise","evil dead rise"
39,"Renfield","2023-04-27","renfield","renfield"
40,"On the Line (2022)","2023-04-27","on the line","on the line"
41,"Guardians of the Galaxy Vol. 3","2023-05-04","guardians of the galaxy vol 3","guardians of the galaxy vol 3"
42,"Beau is Afraid","2023-05-04","beau is afraid","beau is afraid"
43,"Book Club: The Next Chapter","2023-05-11","book club the next chapter","book club the next chapter"
44,"Love Again","2023-05-11","love again","love again"
45,"Jeepers Creepers Reborn","2023-05-11","jeepers creepers reborn","jeepers creepers reborn"
46,"Fast X","2023-05-18","fast x","fast x"
47,"Little Mermaid, The","2023-05-25","the little mermaid","the little mermaid"
48,"Knights of the Zodiac","2023-05-25","knights of the zodiac","knights of the zodiac"
49,"Spider-Man: Across The Spider-Verse","2023-06-01","spiderman across the spiderverse","spiderman across the spiderverse"
50,"Boogeyman, The","2023-06-01","the boogeyman","the boogeyman"
51,"Transformers: Rise of the Beasts","2023-06-08","transformers rise of the beasts","transformers rise of the beasts"
52,"Marlowe","2023-06-08","marlowe","marlowe"
53,"Flash, The","2023-06-15","the flash","the flash"
54,"About My Father","2023-06-15","about my father","about my father"
55,"The Offering","2023-06-15","abyzou","abyzou"
56,"No Hard Feelings","2023-06-22","no hard feelings","no hard feelings"
57,"Asteroid City","2023-06-22","asteroid city","asteroid city"
58,"Wrath of Becky, The","2023-06-22","the wrath of becky","the wrath of becky"
59,"Never Rarely Sometimes Always","2023-06-23","never rarely sometimes always","never rarely sometimes always"
60,"Indiana Jones and the Dial of Destiny","2023-06-29","indiana jones and the dial of destiny","indiana jones and the dial of destiny"
