"Rank","Distributor","Movies","Gross","Tickets","Share","Year"
1,"Sony Pictures",16,460797877,50195838,22.82,2020
2,"Universal",15,398745236,43436293,19.74,2020
3,"Warner Bros.",10,225553319,24570073,11.17,2020
4,"Walt Disney",13,223876751,24387439,11.09,2020
5,"Paramount Pictures",8,180506424,19663006,8.94,2020
6,"20th Century Studios",5,90357698,9842883,4.47,2020
7,"Lionsgate",7,59188820,6447580,2.93,2020
8,"STX Entertainment",6,49363760,5377313,2.44,2020
9,"20th Century Fox",4,44728688,4872404,2.21,2020
10,"Neon",7,36722494,4000268,1.82,2020
11,"Focus Features",11,33849000,3687249,1.68,2020
12,"Solstice Studios",1,20831465,2269222,1.03,2020
13,"United Artists",3,19466240,2120504,0.96,2020
14,"101 Studios",2,19000877,2069812,0.94,2020
15,"Open Road",2,16550057,1802837,0.82,2020
16,"A24",4,13658766,1487881,0.68,2020
17,"FUNimation",1,13553826,1476451,0.67,2020
18,"Fox Searchlight",2,12247624,1334163,0.61,2020
19,"truTV",1,10466091,1140097,0.52,2020
20,"Searchlight Pictures",3,10306877,1122751,0.51,2020
21,"GKIDS",4,8293254,903402,0.41,2020
22,"Roadside Attractions",5,6671223,726709,0.33,2020
23,"Well Go USA",6,4067972,443132,0.2,2020
24,"Cloudburst Entertainment",1,4051990,441393,0.2,2020
25,"MGM",1,3896391,424443,0.19,2020
26,"Fathom Events",4,3581247,390112,0.18,2020
27,"ShortsHD",1,3304748,359994,0.16,2020
28,"Sony Pictures Classics",7,3206543,349292,0.16,2020
29,"IFC Midnight",6,2944996,320803,0.15,2020
30,"IFC Films",26,2563737,279262,0.13,2020
31,"RLJ Entertainment",6,2236326,243606,0.11,2020
32,"Bleecker Street",6,2173238,236734,0.11,2020
33,"FIP",3,1908493,207896,0.09,2020
34,"Vertical Entertainment",7,1757094,191401,0.09,2020
35,"Gravitas Ventures",4,1599930,174282,0.08,2020
36,"Freestyle Releasing",3,1367786,148994,0.07,2020
37,"Magnolia Pictures",10,1295882,141157,0.06,2020
38,"Trafalgar Releasing",5,1245842,135710,0.06,2020
39,"Faith Media Distribution",1,1117808,121765,0.06,2020
40,"Quiver",1,1002852,109243,0.05,2020
41,"Amazon Studios",5,906202,98712,0.04,2020
42,"New Line",1,905000,98583,0.04,2020
43,"Great India Films",1,821000,89433,0.04,2020
44,"Oscilloscope Pictures",6,751882,81901,0.04,2020
45,"Atlas Distribution",4,661505,72057,0.03,2020
46,"Global View Entertainment",1,538179,58625,0.03,2020
47,"Saban Films",4,536631,58455,0.03,2020
48,"Purdie Distribution",2,525768,57272,0.03,2020
49,"Self Distributed",6,507228,55251,0.03,2020
50,"Greenwich",7,422634,46034,0.02,2020
51,"Entertainment One",2,401825,43771,0.02,2020
52,"Kino Lorber",6,330287,35976,0.02,2020
53,"Aviron Pictures",1,300460,32729,0.01,2020
54,"Manifold Productions",1,282149,30735,0.01,2020
55,"Compass International",1,274000,29847,0.01,2020
56,"Films Seville",1,264552,28818,0.01,2020
57,"Film Movement",7,202681,22074,0.01,2020
58,"Music Box Films",5,192877,21008,0.01,2020
59,"Orion Classics",1,185026,20155,0.01,2020
60,"Relativity",1,184477,20095,0.01,2020
61,"BritBox",1,183940,20037,0.01,2020
62,"Cranked Up Films",1,164346,17902,0.01,2020
63,"ArtAffects",2,162232,17671,0.01,2020
64,"Indican Pictures",24,160658,17490,0.01,2020
65,"Zeitgeist",4,148357,16158,0.01,2020
66,"NME",1,137260,14952,0.01,2020
67,"CJ Entertainment",1,136379,14856,0.01,2020
68,"Area 23a",1,129130,14066,0.01,2020
69,"Capelight Pictures",1,113527,12366,0.01,2020
70,"Rezinate Entertainment",1,109299,11906,0.01,2020
71,"Janus Films",2,81975,8929,0,2020
72,"Viva Pictures",1,80496,8768,0,2020
73,"Briarcliff Entertainment",1,57000,6209,0,2020
74,"Blue Fox Entertainment",1,54415,5927,0,2020
75,"Acorn TV",1,51032,5559,0,2020
76,"Five & Two Pictures",1,46812,5099,0,2020
77,"Zee Studios",1,35000,3812,0,2020
78,"Metrograph Pictures",2,33860,3687,0,2020
79,"3DLive",1,31252,3404,0,2020
80,"Grasshopper Film",3,28988,3156,0,2020
81,"Outsider",1,26563,2893,0,2020
82,"Aspiration Media",1,22755,2478,0,2020
83,"1091 Media",1,22327,2432,0,2020
84,"Howling Wolf Productions",1,22307,2429,0,2020
85,"Cohen Media Group",1,21536,2345,0,2020
86,"Icarus Films",1,20943,2281,0,2020
87,"Row House Cinema",1,20000,2178,0,2020
88,"Distrib Films",6,19835,2158,0,2020
89,"Variance Films",1,19169,2088,0,2020
90,"Monument Releasing",2,18250,1987,0,2020
91,"Screen Media Films",1,18169,1979,0,2020
92,"National Geographic Entertainment",1,17529,1909,0,2020
93,"Cinema Guild",2,16972,1848,0,2020
94,"Not That Kind of Movie Productions",1,15527,1691,0,2020
95,"ArtMattan Films",2,15450,1682,0,2020
96,"Strand Releasing",2,11893,1294,0,2020
97,"Menemsha Entertainment",1,11862,1292,0,2020
98,"First Run Features",1,10683,1163,0,2020
99,"7th Empire Media",1,10236,1115,0,2020
100,"Kicking and Screening Media",1,9966,1085,0,2020
101,"Mutiny Pictures",2,8218,894,0,2020
102,"Sky Island",1,8140,886,0,2020
103,"Epic Pictures Group",1,8101,882,0,2020
104,"Rialto Pictures",1,8055,877,0,2020
105,"Abramorama Films",1,6477,705,0,2020
106,"K Street Pictures",1,4894,533,0,2020
