"Rank","Name","Worldwide_Box_Office","Movies","Average"
611,"Tika Sumpter",957428888,7,136775555
612,"Joel Edgerton",955035165,22,43410689
613,"Toni Collette",954467840,26,36710302
614,"Xochitl Gomez",952224986,1,952224986
615,"Patrick Dempsey",951856707,10,95185671
616,"Neel Sethi",951806722,1,951806722
617,"Taraji P. Henson",947965088,17,55762652
618,"Rene Russo",943829622,12,78652469
619,"Naomi Watts",943038939,35,26943970
620,"Sarah Michelle Gellar",940862955,11,85532996
621,"Emma Myers",940633000,2,470316500
622,"Sebastian Eugene Hansen",940633000,1,940633000
623,"Barry Humphries",940561951,2,470280976
624,"Tenoch Huerta",936631241,3,312210414
625,"Charlie Sheen",934825810,28,33386636
626,"Taylor Swift",934804962,5,186960992
627,"Thomas Brodie-Sangster",932010095,8,116501262
628,"Maria Bello",928820130,11,84438194
629,"Nicholas Hoult",924476564,19,48656661
630,"Dave Franco",922994246,12,76916187
631,"Shemar Moore",921913247,4,230478312
632,"Tony Jaa",921570408,14,65826458
633,"Adrien Brody",915947779,29,31584406
634,"Brittany Snow",913100997,17,53711823
635,"Jonathan Winters",912304672,3,304101557
636,"Katy Perry",912296846,2,456148423
637,"Jaden Smith",910853717,4,227713429
638,"Matthew Lillard",909891339,9,101099038
639,"Lance Reddick",907593718,5,181518744
640,"Karan Soni",906729090,7,129532727
641,"Toby Kebbell",906224923,8,113278115
642,"Cynthia Erivo",906199356,11,82381760
643,"Eugene Levy",900584063,10,90058406
644,"Sean Penn",900364579,22,40925663
645,"Diane Kruger",900012234,17,52941896
646,"Louis C.K.",899313181,3,299771060
647,"Nick Kroll",897812442,10,89781244
648,"Adam Beach",894787803,5,178957561
649,"Bonnie Hunt",894706424,4,223676606
650,"Zhu Yilong",893916197,4,223479049
651,"Colleen O’Shaughnessey",893533652,2,446766826
652,"Natasha Rothwell",893533652,3,297844551
653,"Lee Majdoub",893533652,3,297844551
654,"Theo James",892193538,14,63728110
655,"Tony Leung Chiu Wai",891426382,7,127346626
656,"Aaron Kwok",889847997,12,74154000
657,"Bernie Mac",889390282,6,148231714
658,"Abigail Breslin",888349839,19,46755255
659,"Rick Moranis",888205095,11,80745918
660,"Neve Campbell",886095611,11,80554146
661,"Bobby Moynihan",886013000,2,443006500
662,"Leslie Mann",885513727,12,73792811
663,"Michael Nyqvist",884637897,6,147439650
664,"Kristin Davis",882378459,4,220594615
665,"Wendi McLendon-Covey",882336946,8,110292118
666,"Tye Sheridan",880876993,17,51816294
667,"William H. Macy",877524521,16,54845283
668,"Edward Burns",873279895,16,54579993
669,"Snoop Dogg",873133054,16,54570816
670,"Mckenna Grace",872888627,12,72740719
671,"Michael Rooker",871822365,5,174364473
672,"Jane Fonda",871723926,26,33527843
673,"Anton Yelchin",871045814,16,54440363
674,"Maria Bakalova",868851944,8,108606493
675,"Hugh Bonneville",867266224,8,108408278
676,"Hilary Swank",867117473,21,41291308
677,"Clark Duke",866738334,5,173347667
678,"Christopher Lloyd",864636886,19,45507205
679,"Audrey Tautou",864243079,11,78567553
680,"Russell Brand",863793987,8,107974248
681,"Rebecca Hall",862430137,17,50731185
682,"John Rhys-Davies",861360789,10,86136079
683,"Tara Reid",860466803,15,57364454
684,"Winston Duke",860213584,3,286737861
685,"Dominique Thorne",859208836,1,859208836
686,"Michaela Coel",859208836,1,859208836
687,"Ioan Gruffudd",858716225,6,143119371
688,"Zach Braff",858390564,10,85839056
689,"Jennifer Connelly",856727105,16,53545444
690,"Taika Waititi",855943426,4,213985857
691,"Rosamund Pike",853947127,21,40664149
692,"Jeff Daniels",853514144,15,56900943
693,"Ben Foster",853328911,20,42666446
694,"Ike Barinholtz",853073593,6,142178932
695,"Jason Lee",849845474,11,77258679
696,"Don Lee (이동석)",849471490,11,77224681
697,"Brianna Hildebrand",847599090,6,141266515
698,"Jason Clarke",846303613,14,60450258
699,"Sean Gunn",845555777,1,845555777
700,"Kevin Bacon",842488707,25,33699548
701,"John Candy",841624864,18,46756937
702,"Jonathan Pryce",839393426,13,64568725
703,"Carmen Ejogo",836384708,3,278794903
704,"Rosie O'Donnell",834997146,4,208749287
705,"Terrence Howard",831935348,19,43786071
706,"Daveed Diggs",830213736,5,166042747
707,"AnnaSophia Robb",829274673,9,92141630
708,"Linda Cardellini",829127899,9,92125322
709,"Julie Andrews",827260392,15,55150693
710,"Xuan Huang",826537010,5,165307402
711,"Henry Thomas",826028766,10,82602877
712,"Jason Schwartzman",824249936,21,39249997
713,"Samantha Morton",822136308,6,137022718
714,"Omar Sy",821520027,12,68460002
715,"Marlon Wayans",820207650,12,68350638
716,"Cloris Leachman",818151917,10,81815192
717,"Olivia Wilde",818018339,15,54534556
718,"Logan Lerman",818005020,12,68167085
719,"Jessica Chastain",817441003,26,31440039
720,"Vladimir Mashkov",814940537,5,162988107
721,"Mark Rylance",813040812,10,81304081
722,"Aaron Pierre",812681895,3,270893965
723,"Daniel Day-Lewis",809253983,16,50578374
724,"Bob Hoskins",808962926,10,80896293
725,"Jack McBrayer",807811060,5,161562212
726,"Jessica Biel",807333707,15,53822247
727,"Emily Mortimer",805567193,15,53704480
728,"Lady Gaga",804921590,4,201230398
729,"Daveigh Chase",804582031,4,201145508
730,"Chris O'Donnell",804353850,8,100544231
731,"Whoopi Goldberg",803960756,27,29776324
732,"Terry Crews",803934596,6,133989099
733,"Sean Harris",803252787,3,267750929
734,"Kim Cattrall",802368939,5,160473788
735,"Hiroyuki Sanada",802302443,4,200575611
736,"Janeane Garofalo",801908985,8,100238623
737,"Famke Janssen",801581104,11,72871009
738,"Danny McBride",800959324,12,66746610
739,"Jackie Earle Haley",800440014,9,88937779
740,"Zazie Beetz",800203906,5,160040781
741,"Catherine Keener",798768033,11,72615276
742,"Gina Rodriguez",798550468,17,46973557
743,"Anthony Gonzalez",796397165,3,265465722
744,"Craig Robinson",795807937,18,44211552
745,"Morena Baccarin",790209637,8,98776205
746,"Joey King",786736294,15,52449086
747,"Leslie Uggams",786362370,3,262120790
748,"Stefan Kapicic",786362370,1,786362370
749,"Sally Field",784466306,12,65372192
750,"Saoirse Ronan",781575975,19,41135578
751,"Vanessa Hudgens",780232524,15,52015502
752,"Alison Brie",780161013,15,52010734
753,"Gemma Arterton",779889408,22,35449519
754,"Dongyu Zhou",779373824,8,97421728
755,"Courteney Cox",778943374,9,86549264
756,"Mena Suvari",776837800,25,31073512
757,"Walton Goggins",776357654,5,155271531
758,"Taylor Kitsch",775442538,7,110777505
759,"Minnie Driver",774307207,14,55307658
760,"Roy Scheider",773895653,6,128982609
761,"Anjelica Huston",769335862,13,59179682
762,"Charlie Hunnam",767224153,12,63935346
763,"Rachel Zegler",765544427,6,127590738
764,"Vanessa Kirby",765423258,11,69583933
765,"Carla Gugino",764809042,11,69528095
766,"Ed Harris",760971228,27,28184120
767,"Burt Reynolds",760646771,23,33071599
768,"Clancy Brown",758773131,6,126462189
769,"Chris Klein",758023645,5,151604729
770,"Uma Thurman",756622173,19,39822220
771,"Ariana Grande",756154399,3,252051466
772,"Tina Fey",754850658,11,68622787
773,"Anil Kapoor",753282658,9,83698073
774,"Jared Harris",747816059,6,124636010
775,"Karen Fukuhara",745744980,1,745744980
776,"Yanting Lü",742718496,1,742718496
777,"Jon Bernthal",742461298,8,92807662
778,"Kathryn Newton",741416100,6,123569350
779,"Kelvin Harrison Jr",740261059,10,74026106
780,"Jamie Bell",739946254,17,43526250
781,"Dakota Fanning",739208574,22,33600390
782,"Sung Kang",738429278,4,184607320
783,"Garrett Hedlund",736785880,17,43340346
784,"Shannon Elizabeth",735906348,11,66900577
785,"Tobin Bell",735655638,11,66877785
786,"Edward Asner",731693267,8,91461658
787,"Jordan Nagai",731463377,1,731463377
788,"Minami Takayama",730978591,9,81219843
789,"Annabelle Wallis",730717743,6,121786291
790,"Liv Tyler",727311031,9,80812337
791,"Michael Clarke Duncan",725121404,8,90640176
792,"Tiffany Boone",722612009,1,722612009
793,"Blue Ivy Carter",722612009,1,722612009
794,"Preston Nyman",722612009,1,722612009
795,"Steven Seagal",722451316,23,31410927
796,"Mahershala Ali",721895059,6,120315843
797,"Joseph Quinn",721533492,5,144306698
798,"Rooney Mara",718927306,17,42289842
799,"Ni Ni",718212599,4,179553150
800,"Cher",717869549,9,79763283
801,"Bryan Cranston",716651891,13,55127069
802,"Daniela Melchior",714375114,3,238125038
803,"Cynthia Nixon",714059555,3,238019852
804,"Kate Hudson",713461331,19,37550596
805,"Maggie Grace",713206226,12,59433852
806,"Lena Waithe",712413254,2,356206627
807,"Josh Holloway",711436607,3,237145536
808,"Jaeden Lieberher",705844765,4,176461191
809,"Olivia Cooke",704946926,12,58745577
810,"Jemaine Clement",703669085,8,87958636
811,"William Hurt",700835648,25,28033426
812,"Yue Yunpeng",691844921,2,345922461
813,"Cobie Smulders",683878725,7,97696961
814,"Chevy Chase",679471865,27,25165625
815,"Bridget Moynahan",676081596,4,169020399
816,"Mélanie Laurent",673885888,6,112314315
817,"Corey Stoll",673335527,7,96190790
818,"Eugenio Derbez",673024505,10,67302451
819,"Steve Guttenberg",671712258,24,27988011
820,"Rosa Salazar",667779900,4,166944975
821,"Asa Butterfield",667322701,13,51332515
822,"Monica Bellucci",662250227,8,82781278
823,"Said Taghmaoui",659232291,4,164808073
824,"Jenna Ortega",658617504,13,50662885
825,"Justice Smith",657425011,9,73047223
826,"Ray Fisher",655945209,1,655945209
827,"Justin Theroux",654604430,8,81825554
828,"Salman Khan",653251400,16,40828213
829,"Ken Watanabe",651583116,7,93083302
830,"Jean Reno",651089655,17,38299391
831,"Aamir Khan",650680406,8,81335051
832,"Claudia Kim",648455339,1,648455339
833,"Lance Henriksen",648422109,15,43228141
834,"Ryan Potter",647353787,2,323676894
835,"Scott Adsit",647263005,1,647263005
836,"Tom Hulce",645432835,6,107572139
837,"Jaimie Alexander",645064640,5,129012928
838,"Janice Man",642947122,3,214315707
839,"Hank Azaria",642178749,6,107029792
840,"Xiaoming Huang",640819315,8,80102414
841,"Junkai Wang",640671080,4,160167770
842,"Til Schweiger",640026217,7,91432317
843,"Halle Bailey",638545480,3,212848493
844,"Ester Dean",637862362,4,159465591
845,"Cheech Marin",637582211,12,53131851
846,"Finn Wolfhard",636048459,7,90864066
847,"Ian Holm",634549695,3,211516565
848,"Hugh Laurie",631564896,8,78945612
849,"Kristin Scott Thomas",631472942,20,31573647
850,"Spencer Fox",631441092,1,631441092
851,"David Koechner",630612242,12,52551020
852,"Jacob Tremblay",630051185,11,57277380
853,"Jeremy Piven",628574820,14,44898201
854,"Lindsay Lohan",627812232,19,33042749
855,"Lou Romano",626549695,1,626549695
856,"Jim Parsons",625890903,7,89412986
857,"Tom Sizemore",624200736,27,23118546
858,"Ansel Elgort",623435295,9,69270588
859,"Olga Kurylenko",620839346,21,29563778
860,"Zhang Yuqi",620791848,2,310395924
861,"Billy Connolly",620300806,5,124060161
862,"Rob Schneider",619811099,14,44272221
863,"Suraj Sharma",619310368,2,309655184
864,"Qianyuan Wang",617799824,5,123559965
865,"Chris O'Dowd",616488216,10,61648822
866,"Dafne Keen",614202315,4,153550579
867,"Gu Chuxiao",610759412,1,610759412
868,"Paul Hogan",607202502,4,151800626
869,"Wasabi Mizuta",604881668,9,67209074
870,"Paul Giamatti",600745401,13,46211185
871,"Jack O'Connell",600581441,12,50048453
872,"Aldis Hodge",600143145,5,120028629
873,"Christopher Knights",599680774,1,599680774
874,"Li Bingbing",599139678,3,199713226
875,"Ed Skrein",598395350,6,99732558
876,"Winston Chao",598237124,3,199412375
877,"John David Washington",593868925,8,74233616
878,"Jake Johnson",592921436,10,59292144
879,"Jay Chou",589712710,6,98285452
880,"Malin Akerman",589370147,18,32742786
881,"Anna Camp",589303387,10,58930339
882,"Alexis Knapp",589149593,6,98191599
883,"Greg Kinnear",588775380,22,26762517
884,"William Fichtner",588716887,7,84102412
885,"Dennis Haysbert",586394037,6,97732340
886,"Juliette Binoche",585569127,31,18889327
887,"Yi Zhang",581641120,1,581641120
888,"Ashley Judd",580733498,13,44671808
889,"Connie Nielsen",580379197,9,64486577
890,"Shu Qi",580297391,7,82899627
891,"Jim Sturgess",580124317,18,32229129
892,"Win Morisaki",579055653,1,579055653
893,"Philip Zhao",579055653,1,579055653
894,"Lena Headey",578795355,13,44522720
895,"James Garner",578605569,9,64289508
896,"Alan Arkin",578493573,13,44499506
897,"Song Kang-ho",576592531,10,57659253
898,"Ki Hong Lee",576444698,2,288222349
899,"Angelababy",576076906,8,72009613
900,"Cliff Curtis",575909010,5,115181802
901,"Sofia Vergara",575561170,9,63951241
902,"Andie MacDowell",574805917,17,33812113
903,"Dane Cook",574332208,8,71791526
904,"François Cluzet",574116884,6,95686147
905,"Cuba Gooding, Jr.",573723024,21,27320144
906,"Jane Lynch",573517292,3,191172431
907,"Whitney Houston",573447657,5,114689531
908,"Kelly Macdonald",572964711,5,114592942
909,"Kaylee Hottle",572305338,1,572305338
910,"Fala Chen",572305338,1,572305338
911,"Alex Ferns",572305338,1,572305338
912,"Freddie Prinze, Jr.",571492594,10,57149259
913,"Jonah Hauer-King",570519070,5,114103814
914,"Satoshi Tsumabuki",570051257,1,570051257
915,"Elisabeth Shue",568327202,11,51666109
916,"Jean-Claude Van Damme",566376315,34,16658127
917,"Thandiwe Newton",565534815,18,31418601
918,"Michael Ealy",565497215,12,47124768
919,"Mary Steenburgen",564194123,11,51290375
920,"Kris Wu",561825701,6,93637617
921,"Wallace Chung",561806732,5,112361346
922,"Li Qin",561688422,3,187229474
923,"Shirley MacLaine",559629497,16,34976844
924,"Elizabeth Perkins",559200000,2,279600000
925,"Elsie Fisher",559055313,4,139763828
926,"Alice Eve",557923622,12,46493635
927,"Stephen McKinley Henderson",557008849,3,185669616
928,"Emma Roberts",556922332,24,23205097
929,"Jeremy Irvine",554734973,6,92455829
930,"Kevin McKidd",554606532,1,554606532
931,"Boyd Holbrook",554101432,8,69262679
932,"Mary Elizabeth Winstead",553961141,11,50360104
933,"Li Chen",553537843,4,138384461
934,"David Arquette",553061150,15,36870743
935,"Chuck Norris",552709910,22,25123178
936,"Christopher Reeve",549721423,8,68715178
937,"Shawn Wayans",549512911,4,137378228
938,"Alden Ehrenreich",547282014,7,78183145
939,"Miranda Cosgrove",544707293,1,544707293
940,"Dana Gaier",544707293,1,544707293
941,"Cailee Spaeny",542960050,7,77565721
942,"Christopher Plummer",540217443,26,20777594
943,"Rainn Wilson",539437899,8,67429737
944,"Josh Peck",539355654,6,89892609
945,"F. Murray Abraham",538378479,8,67297310
946,"Henry Golding",537267891,10,53726789
947,"Wayne Knight",534799042,3,178266347
948,"Christian Clavier",532637584,7,76091083
949,"Ben Burtt",532508025,1,532508025
950,"Tony Shalhoub",530562248,3,176854083
951,"Robert Duvall",529829408,21,25229972
952,"Randy Couture",529196477,11,48108771
953,"Ruby Rose",528898183,9,58766465
954,"Hwang Jung-min",528168140,8,66021018
955,"Robert Shaw",527802291,6,87967049
956,"Ray Stevenson",527716898,6,87952816
957,"Dan Castellaneta",527071022,1,527071022
958,"Talitha Bateman",526226880,3,175408960
959,"Michael Sheen",524805841,8,65600730
960,"Lin Yun",523758236,1,523758236
961,"Show Luo",523758236,1,523758236
962,"Bobby Cannavale",522892960,8,65361620
963,"Demián Bichir",522808003,6,87134667
964,"Lizzy Caplan",522282000,7,74611714
965,"Ed O'Neill",521205932,3,173735311
966,"Ha Jung-woo",519357549,11,47214323
967,"J.B. Smoove",518075610,8,64759451
968,"Daisy Edgar-Jones",517316405,4,129329101
969,"Liu Xuejian",517096645,1,517096645
970,"Elodie Yung",514577461,2,257288731
971,"Penelope Wilton",513039379,6,85506563
972,"Chengpeng Dong (董成鹏)",512161510,4,128040378
973,"John Corbett",511806049,7,73115150
974,"Joe Manganiello",511111802,10,51111180
975,"Tom Kenny",510063669,5,102012734
976,"Carrie Anne Moss",510047317,7,72863902
977,"Fionn Whitehead",509798672,3,169932891
978,"Lun Ai",508608441,4,127152110
979,"Zheng Kai",508555219,4,127138805
980,"Carey Mulligan",508433691,13,39110284
981,"Emilio Estevez",508177543,21,24198931
982,"Sanaa Lathan",505992097,10,50599210
983,"Nia Vardalos",505876026,6,84312671
984,"Lay Zhang",504630207,1,504630207
985,"Gina Jin",504630207,1,504630207
986,"Scott Weinger",504050219,1,504050219
987,"Jonathan Freeman",504050219,1,504050219
988,"Brad Kane",504050219,1,504050219
989,"Linda Larkin",504050219,1,504050219
990,"Lea Salonga",504050219,1,504050219
991,"Mia Wasikowska",504042769,17,29649575
992,"Jenifer Lewis",503605946,2,251802973
993,"Delroy Lindo",503127107,10,50312711
994,"Mamoudou Athie",501228246,3,167076082
995,"Jonathan Majors",498716919,5,99743384
996,"Gong Li",498340821,11,45303711
997,"Toby Jones",497468322,10,49746832
998,"Joe Lo Truglio",496746351,3,165582117
999,"Shah Rukh Khan",496102866,14,35435919
1000,"Tony Goldwyn",494718062,3,164906021
