"Rank","Name","Worldwide_Box_Office","Movies","Average"
141,"Rachel McAdams",3436607760,23,149417729
142,"Oscar Isaac",3403344316,25,136133773
143,"Ryan Gosling",3390297924,25,135611917
144,"Matthew McConaughey",3345253741,33,101371325
145,"Kevin Costner",3324719453,42,79159987
146,"Willem Dafoe",3294486814,45,73210818
147,"Denis Leary",3292639913,10,329263991
148,"Ray Romano",3279997059,10,327999706
149,"Gerard Butler",3258060444,33,98729104
150,"Beyoncé Knowles",3256696349,10,325669635
151,"Jamie Foxx",3249846606,33,98480200
152,"Tom Hardy",3241749727,20,162087486
153,"Alan Tudyk",3233824041,11,293984004
154,"Donnie Yen",3227181775,26,124122376
155,"Tobey Maguire",3204920990,11,291356454
156,"Jon Hamm",3191916533,19,167995607
157,"Reese Witherspoon",3184160573,37,86058394
158,"John Goodman",3163577692,23,137546856
159,"Carrie Fisher",3129932683,8,391241585
160,"Tyrese Gibson",3103704094,18,172428005
161,"Jackie Chan",3085755923,44,70130816
162,"Emily Blunt",3064699660,30,102156655
163,"Kevin James",3056125302,17,179772077
164,"Mads Mikkelsen",3053272800,19,160698568
165,"Bryce Dallas Howard",3033373224,10,303337322
166,"Michael Fassbender",2999798047,28,107135645
167,"Kristen Wiig",2980418674,20,149020934
168,"Ben Mendelsohn",2946313160,14,210450940
169,"Michael Keaton",2927694353,21,139414017
170,"Gal Gadot",2918376122,12,243198010
171,"Emma Thompson",2902535733,22,131933442
172,"Dustin Hoffman",2895372743,34,85158022
173,"Amy Poehler",2885627917,12,240468993
174,"Jake Gyllenhaal",2870563559,34,84428340
175,"Sacha Baron Cohen",2847891529,11,258899230
176,"Ezra Miller",2840224947,10,284022495
177,"Jordana Brewster",2829375441,11,257215949
178,"Amy Adams",2816486944,22,128022134
179,"Chris ‘Ludacris’ Bridges",2809609785,7,401372826
180,"Richard Gere",2782152201,47,59194728
181,"Tony Hale",2773112065,6,462185344
182,"Aaron Taylor-Johnson",2763445242,14,197388946
183,"John Cena",2763375015,26,106283654
184,"Michael B. Jordan",2756699564,19,145089451
185,"Queen Latifah",2741665212,18,152314734
186,"Terry Notary",2726288629,2,1363144315
187,"Idina Menzel",2721742784,3,907247595
188,"Michael Caine",2682048300,37,72487792
189,"Lewis Black",2633574939,5,526714988
190,"Robert Redford",2626192625,32,82068520
191,"Emma Stone",2624996922,19,138157733
192,"Michael Peña",2613534117,21,124454006
193,"Jada Pinkett Smith",2603740196,10,260374020
194,"Patrick Stewart",2594860178,17,152638834
195,"Tilda Swinton",2587211739,27,95822657
196,"Dennis Quaid",2567000986,56,45839303
197,"Zach Galifianakis",2559010786,15,170600719
198,"Phyllis Smith",2549140817,2,1274570409
199,"Eddie Redmayne",2545413095,11,231401190
200,"Elijah Wood",2524215942,24,105175664
201,"Patrick Wilson",2520817527,22,114582615
202,"Florence Kasumba",2520663239,2,1260331620
203,"Rebecca Ferguson",2506410431,8,313301304
