"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"63","Godzilla: King Of The Monsters (2019)","2019-05-30","Warner Bros.","QFxN2oDKk0E",NA,2019
"64","Rocketman","2019-05-30","Paramount","S3vO8E2e6G0",NA,2019
"65","Poison Rose, The","2019-05-30","Independent","P6So71lcVdI",NA,2019
"66","Haunting Of Sharon Tate, The","2019-05-30","Independent","ICVydsoFTTk",NA,2019
"67","Rape of Recy Taylor, The","2019-05-30","The Orchard","SCEfwSNv9v8",NA,2019
"68","Don't Let Go","2019-06-04","OTL Releasing","P8PS_tF-3T8",NA,2019
"69","Secret Life Of Pets 2, The","2019-06-06","Universal","mYocfuqu2A8",NA,2019
"70","Dark Phoenix","2019-06-06","20th Century Fox","1-q8C_c-nlM",NA,2019
"71","Men In Black International","2019-06-13","Sony","BV-WEb2oxLk",NA,2019
"72","Poms","2019-06-13","STX Entertainment","-9PypHxfY_M",NA,2019
"73","Hustle, The","2019-06-20","United Artists Releasing","_j5hwooOHVE",NA,2019
"74","Dead Don't Die, The","2019-06-20","Focus Features","bs5ZOcU6Bnw",NA,2019
"75","Pavarotti","2019-06-20","CBS Films","CnPPrjwyLW8",NA,2019
"76","Vigilante, A","2019-06-20","Independent","XWIL6qaG-p8",NA,2019
"77","Toy Story 4","2019-06-27","Disney","wmiIUN-7qhE",NA,2019
"78","Annabelle Comes Home","2019-06-27","Warner Bros.","bCxm7cTpBAs",NA,2019
"79","Spider-Man: Far From Home","2019-07-04","Sony","Nt9L1jCKGnE",NA,2019
"80","Escape Plan 3: The Extractors","2019-07-04","","jjezXlAefFQ",NA,2019
"81","Sun Is Also A Star, The","2019-07-04","Warner Bros.","3On0BXzGnuI",NA,2019
"82","Stuber","2019-07-11","20th Century Fox","i5l6a5RiR1E",NA,2019
"83","Crawl","2019-07-11","Paramount","H6MLJG0RdDE",NA,2019
"84","Dragged Across Concrete","2019-07-11","Lionsgate Premiere Releasing","2p5pdWyyZoc",NA,2019
"85","Her Smell","2019-07-11","Gunpowder & Sky","I0jtKmdlGVY",NA,2019
"86","Lion King, The","2019-07-18","Disney","7TavVZMewpY",NA,2019
"87","Child's Play","2019-07-18","United Artists Releasing","ZFy8ZgLd574",NA,2019
"88","Fast & Furious Presents: Hobbs & Shaw","2019-08-01","Universal","HZ7PAyCDwEg",NA,2019
"89","Uglydolls","2019-08-01","STX Entertainment","qqlEGYo0xCA",NA,2019
"90","Professor, The","2019-08-01","Independent","IThXCpk3Oc4",NA,2019
"91","Scary Stories To Tell In The Dark","2019-08-08","Lionsgate","Vlya92LZqZw",NA,2019
"92","Kitchen, The (2019)","2019-08-08","Warner Bros.","8BUgeJL0qD8",NA,2019
"93","Stockholm (2019)","2019-08-08","Smith Global Media","Hna6_rWLXAQ",1,2019
"94","Malicious (2018)","2019-08-08","Vertical Entertainment","OWCXSq61iMI",3,2019
"95","Once Upon A Time In Hollywood","2019-08-15","Sony","ELeMaP8EPAA",4,2019
"96","Booksmart","2019-08-15","United Artists Releasing","S0Mb6BgnhS0",6,2019
"97","Night Hunter","2019-08-15","Independent","Rh7ZsUVCrpM",7,2019
"98","Angel Has Fallen","2019-08-22","Lionsgate","XF8h3hOGBJM",8,2019
"99","Ready Or Not","2019-08-22","Fox Searchlight","ZtYTwUxhAoI",9,2019
"100","Good Boys","2019-08-22","Universal","zPXqwAGmX04",10,2019
"101","47 Meters Down: Uncaged","2019-08-29","Entertainment Studios Motion Pictures","zF3lM_EPh2U",11,2019
"102","Art Of Racing In The Rain, The","2019-08-29","20th Century Fox","Dp2ufFO4QGg",12,2019
"103","Peanut Butter Falcon, The","2019-08-29","Roadside Attractions","UNl9RqjLCwc",13,2019
"104","IT Chapter Two","2019-09-05","Warner Bros.","xhJ5P7Up3jA",14,2019
"105","Killerman","2019-09-05","Blue Fox Entertainment","i5niXDUtGEM",15,2019
"106","Goldfinch, The","2019-09-12","Warner Bros.","IcG06hZooHM",16,2019
"107","Ad Astra","2019-09-19","20th Century Fox","P6AaSMfXHbA",18,2019
"108","Charlie Says","2019-09-19","IFC Films","KPSKkxTQFEU",19,2019
"109","Rambo: Last Blood","2019-09-26","Lionsgate","4vWg5yJuWfs",20,2019
"110","Hustlers","2019-09-26","STX Entertainment","P_dfc0iqmig",21,2019
"111","Midsommar","2019-09-26","A24","1Vnghdsjmd0",22,2019
"112","Joker","2019-10-03","Warner Bros.","zAGVQLHvwOY",24,2019
"113","Playmobil: The Movie","2019-10-03","STX Entertainment","xgyP9GG9Ecw",25,2019
"114","Skin","2019-10-03","A24","a3CGU9pqMQU",26,2019
"115","Gemini Man","2019-10-10","Paramount","AbyJignbSj0",28,2019
"116","Current War, The","2019-10-10","Independent","kue18AxK1tU",29,2019
"117","Maleficent: Mistress Of Evil","2019-10-17","Disney","yL1f8yNxGBk",31,2019
"118","After The Wedding","2019-10-17","Sony Pictures Classics","22pa0wpGa9Q",33,2019
"119","10 Minutes Gone","2019-10-17","Independent","6TNFcyEN-3w",34,2019
"120","Mutant Blast","2019-10-17","Troma Entertainment","al2ZhJzK1FU",36,2019
"121","Rainy Day in New York, A","2019-10-24","MPI Media","yIVRldiVDL8",37,2019
"122","Zombieland: Double Tap","2019-10-24","Sony","ZlW9yhUKlkQ",38,2019
"123","Angel Of Mine","2019-10-24","Independent","G1BD8EgwmPA",39,2019
"124","Apollo 11","2019-10-24","Neon Rated","3Co8Z8BQgWc",40,2019
"125","Terminator: Dark Fate","2019-10-31","Paramount","oxy8udgWRmo",42,2019
"126","Addams Family, The","2019-10-31","United Artists Releasing","c95edsw17QE",43,2019
"127","Doctor Sleep","2019-10-31","Warner Bros.","BOzFZxB-8cw",44,2019
"128","Midway","2019-11-07","Lionsgate","l9laReRAYFk",46,2019
"129","Playing With Fire","2019-11-07","Paramount","fd5GlZUpfaM",47,2019
"130","Countdown (2019)","2019-11-07","STX Entertainment","S6O4iy3Twwo",48,2019
"131","Light Of My Life","2019-11-07","Independent","PoHADU7Oe-g",49,2019
"132","Ford v. Ferrari","2019-11-14","20th Century Fox","zyYgDtY2AMY",2,2019
"133","Motherless Brooklyn","2019-11-14","Warner Bros.","Fru8IkuDp_k",3,2019
"134","Frozen 2 (2019)","2019-11-21","Disney","Zi4LMpSDccc",4,2019
"135","Knives Out","2019-11-28","Lionsgate","qGqiHJTsRkQ",7,2019
"136","Charlie's Angels","2019-11-28","Sony","RSUq4VfWfjE",8,2019
"137","Where'd You Go Bernadette","2019-11-28","United Artists Releasing","Em1onUCArxs",9,2019
"138","Last Christmas","2019-12-05","Universal","z9CEIcmWmtA",10,2019
"139","Aeronauts, The","2019-12-05","Independent","Rm4VnwCtQO8",11,2019
"140","Jumanji: The Next Level","2019-12-12","Sony","rBxcF-r9Ibs",12,2019
"141","21 Bridges","2019-12-12","STX Entertainment","BVZDhunTrYA",13,2019
"142","Star Wars: The Rise Of Skywalker","2019-12-19","Disney","NmS9ZX9O5bw",14,2019
"143","Can You Keep A Secret?","2019-12-19","Vertical Entertainment","3IM1vSNJw3Y",15,2019
"144","Murder Of Nicole Brown Simpson, The","2019-12-19","Independent","txkFJoFQjAE",17,2019
"145","Spies In Disguise","2019-12-25","20th Century Fox","9eY2W7uUkDE",18,2019
"146","Jexi","2019-12-25","Lionsgate","8UqXUwgl15k",19,2019
"147","Cats","2019-12-26","Universal","FtSd844cI7U",20,2019
"148","Grudge, The","2020-01-01","Sony","O2NKzO-fxwQ",21,2020
"149","Richard Jewell","2020-01-02","Warner Bros.","gSMxBLlA8qY",22,2020
"150","Plus One","2020-01-02","RLJ Entertainment","RZSeK851vZY",23,2020
"151","Dark Waters","2020-01-09","Focus Features","RvAOuhyunhY",25,2020
"152","Primal","2020-01-09","Independent","MLSaNBuKOXk",26,2020
"153","Farewell, The","2020-01-09","A24","RofpAjqwMa8",27,2020
"154","Bad Boys For Life","2020-01-16","Sony","jKCj3XuPG8M",28,2020
"155","Dolittle","2020-01-16","Universal","FEf412bSPLs",29,2020
"156","Just Mercy","2020-01-16","Warner Bros.","GVQbeG5yW78",30,2020
"157","1917","2020-01-23","Universal","YqNYrYUiMfg",31,2020
"158","Bombshell","2020-01-23","Lionsgate","0rBnkBIhoFE",32,2020
"159","Disturbing The Peace","2020-01-23","Momentum Pictures","NVYPYwHYeyc",33,2020
"160","Wedding Year, The","2020-01-23","Entertainment Studios Motion Pictures","qp9sbE8-1y8",34,2020
"161","Little Women","2020-01-30","Sony","AST2-4db4ic",35,2020
"162","Jojo Rabbit","2020-01-30","Fox Searchlight","tL4McUzXfFI",36,2020
"163","Turning, The","2020-01-30","Universal","rl33gU2APIs",37,2020
"164","Birds Of Prey (And The Fantabulous Emancipation Of One Harley Quinn)","2020-02-06","Warner Bros.","kGM4uYZzfu0",38,2020
"165","Lying And Stealing","2020-02-06","Vertical Entertainment","mKXa10VDQj4",39,2020
"166","Bigger","2020-02-06","Freestyle Releasing","QbTJiAKvww0",41,2020
"167","Sonic The Hedgehog","2020-02-13","Paramount","szby7ZHLnkA",42,2020
"168","Blumhouse's Fantasy Island","2020-02-13","Sony","a6O30nJ02PU",43,2020
"169","Lighthouse, The (2019)","2020-02-14","A24","Hyag7lR8CPA",44,2020
"170","Call of the Wild, The","2020-02-20","20th Century Fox","5P8R2zAhEwg",45,2020
"171","Gretel And Hansel","2020-02-20","United Artists Releasing","QZblQLhKcZQ",46,2020
"172","Trauma Center","2020-02-20","Independent","Y2DrOhVpPZo",47,2020
"173","Gentlemen, The","2020-02-27","STX Entertainment","Ify9S7hj480",48,2020
"174","Brahms: The Boy II","2020-02-27","STX Entertainment","ytxEldPKnyA",49,2020
"175","Like A Boss","2020-02-27","Paramount","9ESkyRFEso4",50,2020
"176","Onward","2020-03-05","Disney","gn5QmllRCn4",1,2020
"177","Invisible Man, The (2020)","2020-03-05","Universal","dSBsNeYqh-k",2,2020
"178","I See You (2019)","2020-03-05","Independent","1z3bGnYhMis",3,2020
"179","Last Full Measure, The","2020-03-05","Roadside Attractions","Go8zI2sytEc",4,2020
"180","Wolf Hour, The","2020-03-06","Brainstorm Media","SPtqP0-zG64",5,2020
"181","Bloodshot","2020-03-12","Sony","vOUVVDWdXbo",6,2020
"182","Way Back, The (2020)","2020-03-12","Warner Bros.","VzNJVSsjE-I",7,2020
"183","Galveston","2020-03-12","RLJ Entertainment","Hfdxq5eLrxM",9,2020
"184","My Spy","2020-06-10","Independent","pfAhQSz-j_o",11,2020
"185","Give Me Liberty","2020-06-11","Music Box Film","cuU4k3P6YCA",12,2020
"186","Night Clerk, The","2020-07-02","Independent","8j6wDoyiyd4",14,2020
"187","Survive The Night","2020-07-09","","TfTNGqXBwHY",15,2020
"188","Burden (2020)","2020-07-09","101 Studios","DSLhLfAnVd8",16,2020
"189","Burnt Orange Heresy, The","2020-07-09","Sony Pictures Classics","6PMAlfrdQNI",17,2020
"190","Arkansas","2020-07-16","Independent","2oDRSS67Ohw",18,2020
"191","Becky","2020-07-23","Amor Media","5-j5HtaOSjA",19,2020
"192","Ophelia","2020-07-23","IFC Films","WU1uwl9cniw",20,2020
"193","Capone","2020-07-30","","2J5OE16C_zY",21,2020
"194","Think Like A Dog","2020-07-30","","s3_5WZSOsn8",22,2020
"195","Outpost, The (2020)","2020-08-06","Screen Media Films","f4LM9a02q9Q",24,2020
"196","High Note, The (2020)","2020-08-06","Focus Features","cy8lUfePOZs",25,2020
"197","Endless","2020-08-13","","FTzU_zByE3Y",27,2020
"198","Secret: Dare To Dream, The","2020-08-20","Independent","Mf3-oCDdTzQ",29,2020
"199","Force Of Nature (2020)","2020-08-20","Independent","d61GX5VoEJc",30,2020
"200","I Still Believe","2020-08-20","Lionsgate","7Za7-Q8YURM",31,2020
"201","King of Staten Island, The","2020-08-20","","azkVr0VUSTA",32,2020
"202","Tenet","2020-08-26","Warner Bros.","L3pk_TBkihU",33,2020
"203","New Mutants, The","2020-08-26","20th Century Fox","W_vJhUAOFpI",34,2020
"204","After We Collided","2020-09-02","Open Road/Briarcliff","ndyVh4GFMw0",35,2020
"205","Unhinged","2020-09-10","Solstice Studios","vdxDXoODKN8",37,2020
"206","Rental, The","2020-09-17","IFC Films","MGdcTUMGxB0",38,2020
"207","Greenland","2020-09-24","","1AyxdYP1SNc",39,2020
"208","Broken Hearts Gallery, The","2020-09-24","Sony","7aokhRzwlJI",40,2020
"209","Antebellum","2020-10-01","","7MPib67BDHY",41,2020
"210","Inheritance (2020)","2020-10-08","","3q7JOLZxjqY",42,2020
"211","Ava","2020-10-22","Vertical Entertainment","ozUuAcGOhPs",43,2020
"212","Bill & Ted Face The Music","2020-10-22","United Artists Releasing","0hAL7emClFM",44,2020
"213","Honest Thief","2020-10-29","Open Road/Briarcliff","jG1X67vnYM0",45,2020
"214","Come Play","2020-10-29","Focus Features","LQwiqhdMQ7g",47,2020
"215","Witches, The","2020-10-29","Warner Bros.","9nlhmJF5FNI",48,2020
"216","Craft: Legacy, The","2020-10-29","","J60ueFp-jv8",49,2020
"217","Superintelligence","2020-12-03","Independent","XN6JawOGvpM",50,2020
"218","Jiu Jitsu","2020-12-10","Variance Films","ywhTeWg8970",51,2020
"219","Wonder Woman 1984","2020-12-16","Warner Bros.","sfM7_JLk-84",53,2020
"220","Follow Me","2020-12-23","Vertical Entertainment","IAUeZAO-Klw",55,2020
"221","Love, Weddings & Other Disasters","2020-12-30","Eammon Films","GkKenPum1ts",56,2020
"222","Fatman","2021-01-07","Eammon Films","y2IDILXUE-k",57,2021
"223","Nomadland","2021-04-19","Fox Searchlight","6sxCFZ8_d84",58,2021
"224","Raya And The Last Dragon","2021-04-19","Disney","1VIZ89FEjYI",59,2021
"225","Mortal Kombat","2021-04-19","Warner Bros.","NYH2sLid0Zc",60,2021
"226","Music (Event)","2021-04-19","Imax","OnbIZM0KKq0",61,2021
"227","Tom & Jerry","2021-05-06","Warner Bros.","kP9TfCWaQT4",62,2021
"228","Godzilla vs. Kong","2021-05-06","Warner Bros.","odM92ap8_c0",63,2021
"229","Unholy, The","2021-05-06","Sony","NmQiJPLYzPI",64,2021
"230","Promising Young Woman","2021-05-06","Focus Features","7i5kiFDunk8",65,2021
"231","No Man's Land (2020)","2021-05-06","IFC Films","hMMD7J73oS8",66,2021
"232","Spiral (dir. Bousman)","2021-05-13","Lionsgate","",67,2021
"233","Monster Hunter","2021-05-13","Sony","3od-kQMTZ9M",68,2021
"234","Those Who Wish Me Dead","2021-05-13","Warner Bros.","sV6VNNjBkcE",69,2021
"235","Minari","2021-05-13","A24","KQ0gFidlro8",70,2021
"236","Friendsgiving","2021-05-13","Eammon Films","Hf-efq9o3Nk",71,2021
"237","Peter Rabbit 2: The Runaway","2021-05-20","Sony","euGHcnyUo84",72,2021
"238","Wrath Of Man","2021-05-20","United Artists Releasing","EFYEni2gsK0",73,2021
"239","United States vs. Billie Holiday, The","2021-05-20","","USi-ppCfxEA",74,2021
"240","Cruella","2021-05-27","Disney","gmRKv7n2If8",75,2021
"241","Quiet Place Part II, A","2021-05-27","Paramount","BpdDN9d9Jio",76,2021
"242","Nobody","2021-05-27","Universal","-5X2pt95cIo",77,2021
"243","Blackbird (2020)","2021-05-27","Fathom Entertainment","I9kb6ZJre78",78,2021
"244","Tesla","2021-05-27","IFC Films","e4U-23TOKms",79,2021
"245","Conjuring: The Devil Made Me Do It, The","2021-06-03","Warner Bros.","h9Q4zZS2v1k",80,2021
"246","Spirit Untamed","2021-06-03","Universal","9jG1nnQGpdI",81,2021
"247","Vanquish","2021-06-03","Independent","fUElfp3DJ5Y",82,2021
"248","Synchronic","2021-06-03","Well Go USA, Inc.","eLkbgpEQ14U",83,2021
"249","Chaos Walking","2021-06-10","Lionsgate","nRf4ZgzHoVw",86,2021
"250","In the Heights","2021-06-10","Warner Bros.","U0CL-ZSuCrQ",87,2021
"251","Marksman, The","2021-06-10","Open Road/Briarcliff","lEBPNi4bEbc",88,2021
"252","Hitman's Wife's Bodyguard, The","2021-06-17","Lionsgate","9C0l31YcahQ",91,2021
"253","F9 The Fast Saga","2021-06-24","Universal","PC5blZ9n810",94,2021
"254","Croods: A New Age, The","2021-07-01","Universal","XUN5EEDwHcI",97,2021
"255","Ice Road, The","2021-07-01","","-zjikObAJHk",98,2021
"256","First Cow","2021-07-01","A24","SRUWVT87mt8",99,2021
"257","Four Good Days","2021-07-01","Vertical Entertainment","uDDCulgiqs4",100,2021
"258","Stand-In, The","2021-07-01","Eammon Films","b0ZKeBUUtr0",1,2021
"259","Black Widow","2021-07-08","Disney","M3khLMdKJIU",2,2021
"260","Every Breath You Take","2021-07-08","Vertical Entertainment","9dMHedhCYOI",3,2021
"261","Escape Room: Tournament of Champions","2021-07-15","Sony","KlfUbZJVInA",4,2021
"262","Space Jam: A New Legacy","2021-07-15","Warner Bros.","olXYZOsXw_o",5,2021
"263","Gunpowder Milkshake","2021-07-15","Netflix","H7ZrjXuNgmA",6,2021
"264","Snake Eyes","2021-07-22","Paramount","Vd2sm63Xwfw",7,2021
"265","Comeback Trail, The","2021-07-22","PRJKTD","H9aJATnSseo",8,2021
"266","Jungle Cruise","2021-07-29","Disney","f_HvoipFcA8",10,2021
"267","Old","2021-07-29","Universal","A4U2pMRV9_k",11,2021
"268","Suicide Squad, The","2021-08-05","Warner Bros.","JuDLepNa7hw",13,2021
"269","To the Stars (dir. Stephens)","2021-08-05","","T5OhkFY1PQE",14,2021
"270","Above Suspicion","2021-08-05","Independent","5hta-4X7Z50",15,2021
"271","Respect","2021-08-12","United Artists Releasing","qTtxoz3OIlU",17,2021
"272","Don't Breathe 2","2021-08-12","Sony","gRbG2tjHYCA",18,2021
"273","Boss Level","2021-08-12","Independent","PGHD0bqjZWQ",19,2021
"274","Echo Boomers","2021-08-12","Eammon Films","8CJivh4gr-Q",20,2021
"275","Free Guy","2021-08-19","20th Century Studios","X2m-08cOAbc",22,2021
"276","Paw Patrol: The Movie","2021-08-19","Paramount","LRMTr2VZcr8",23,2021
"277","Reminiscence","2021-08-19","Warner Bros.","_BggT--yxf0",24,2021
"278","Barb And Star Go To Vista del Mar","2021-08-19","","yvmDgXfYPbA",25,2021
"279","Candyman","2021-08-26","Universal","tlwzuZ9kOQU",28,2021
"280","Protege, The","2021-08-26","Lionsgate","fSqa0a3mGk8",29,2021
"281","Queenpins","2021-08-26","STX Entertainment","v90YxH6lR_8",30,2021
"282","Shang-Chi and the Legend of the Ten Rings","2021-09-02","Disney","8YjFbMbfXaQ",31,2021
"283","After We Fell (Event)","2021-09-02","Fathom Entertainment","SLdPPObqlmc",32,2021
"284","Come Away","2021-09-02","Relativity UV","9PpfMd5x3pk",33,2021
"285","Malignant","2021-09-09","Warner Bros.","Gczt0fhawDs",34,2021
"286","Rock Dog 2: Walk Around the Park","2021-09-09","","UoYB1Zn6lR4",35,2021
"287","Green Knight, The","2021-09-09","A24","sS6ksY8xWCY",36,2021
"288","What Is Life Worth","2021-09-09","","1dENT2CRCKo",37,2021
"289","Cry Macho","2021-09-16","Warner Bros.","JVc8SI5CAKw",38,2021
"290","Midnight in the Switchgrass","2021-09-16","Independent","1pNN66fRumw",39,2021
"291","Dreamland (2020)","2021-09-16","Vertical Entertainment","agn4t4SOB_0",40,2021
"292","Till Death","2021-09-23","Screen Media Films","Wfmb1-UEpW4",41,2021
"293","Copshop","2021-09-23","Open Road/Briarcliff","ezHiQwwzEjU",42,2021
"294","No Time To Die","2021-09-30","United Artists Releasing","BIhNsAtPbPI",43,2021
"295","Songbird","2021-09-30","","IgxXSfto6Vo",44,2021
"296","Fatima","2021-10-07","Picturehouse Films","d1f_9_TGlpI",45,2021
"297","Misfits, The","2021-10-07","Paramount","lxhMLjt83KQ",46,2021
"298","Run","2021-10-07","Independent","0Dhh7q9Us5c",47,2021
"299","Flag Day","2021-10-07","United Artists Releasing","2D-3fxTLmS8",48,2021
"300","Venom: Let There Be Carnage","2021-10-14","Sony","-FmWuCgJmxo",50,2021
"301","Ron's Gone Wrong","2021-10-14","20th Century Studios","fCqGfjBSk0I",51,2021
"302","Dune","2021-10-21","Warner Bros.","n9xhJrPXop4",54,2021
"303","Halloween Kills","2021-10-21","Universal","hL6R3HmQfPc",55,2021
"304","Ailey","2021-10-21","Neon Rated","PHcM4HJEgs4",56,2021
"305","Addams Family 2, The","2021-10-28","United Artists Releasing","Kd82bSBDE84",57,2021
"306","Last Duel, The","2021-10-28","20th Century Studios","mgygUwPJvYk",58,2021
"307","Last Night In Soho","2021-10-28","Focus Features","AcVnFrxjPjI",59,2021
"308","Mercy Black","2021-10-28","","BQHcRb1DMsQ",60,2021
"309","Eternals","2021-11-04","Disney","G54feZ72tuk",61,2021
"310","Red Notice","2021-11-04","Netflix","Pj0wz7zu3Ms",63,2021
"311","French Dispatch, The","2021-11-11","Searchlight","TcPk2p0Zaw4",64,2021
"312","Antlers","2021-11-11","Searchlight","2aiYxwVuZ1o",65,2021
"313","Doorman, The","2021-11-11","Independent","pugLE1ifvbY",66,2021
"314","King Richard","2021-11-18","Warner Bros.","BKP_0z52ZAw",67,2021
"315","Card Counter, The","2021-11-18","Focus Features","7RvVT1cDiNc",68,2021
"316","Encanto","2021-11-25","Disney","CaimKeDcudo",69,2021
"317","House Of Gucci","2021-11-25","United Artists Releasing","pGi3Bgn7U5U",70,2021
"318","Ghostbusters: Afterlife","2021-11-25","Sony","ahZFCF--uRY",71,2021
"319","Sing 2","2021-12-01","Universal","EPZu5MA2uqI",72,2021
"320","West Side Story","2021-12-08","20th Century Studios","A5GJLwWiYSg",73,2021
"321","Pig","2021-12-08","Neon Rated","1i-_CRKdh4Y",74,2021
"322","Don't Look Up","2021-12-08","Netflix","RbIxYm3mKzI",75,2021
"323","Spider-Man: No Way Home","2021-12-16","Sony","JfVOs4VSpmA",78,2021
"324","Clifford The Big Red Dog","2021-12-16","Paramount","4zH5iYM4wJo",79,2021
"325","Matrix Resurrections, The","2021-12-22","Warner Bros.","9ix7TUGVYIo",80,2021
"326","King's Man, The","2021-12-22","20th Century Studios","5zdBG-iGfes",81,2021
"327","Hating Game, The","2022-01-06","Vertical Entertainment","j3qBGOD4b4A",83,2022
"328","Out of Death","2022-01-06","Vertical Entertainment","UlA_achIbk4",84,2022
"329","Scream","2022-01-20","Paramount","beToTslH17s",87,2022
"330","Penguin Bloom","2022-01-20","","q7eZEZHRrVg",89,2022
"331","Nightmare Alley","2022-01-27","Searchlight","Q81Yf46Oj3s",90,2022
"332","355, The","2022-01-27","Universal","SV0s2S9reT0",91,2022
"333","Swallow","2022-01-27","IFC Films","CUpMcNIY5ms",93,2022
"334","Moonfall","2022-02-03","Lionsgate","ivIwdQBlS10",98,2022
"335","Lost Daughter, The (2021)","2022-02-03","Netflix","xNq9YOfL0Zs",99,2022
"336","Boy Behind the Door, The","2022-02-03","","3HEmC-ASveA",100,2022
"337","Death on the Nile","2022-02-10","20th Century Studios","dZRqB0JLizw",2,2022
"338","Marry Me","2022-02-10","Universal","Ebv9_rNb5Ig",3,2022
"339","Uncharted","2022-02-17","Sony","eHp3MbsCbMg",5,2022
"340","Prisoners Of The Ghostland","2022-02-17","RLJ Entertainment","CeIfnDc0jvA",6,2022
"341","Cyrano","2022-02-24","United Artists Releasing","5e8apSFDXsQ",9,2022
"342","Batman, The","2022-03-03","Warner Bros.","mqqft2x_Aa4",11,2022
"343","Jackass Forever","2022-03-10","Paramount","FNq-QT2Jpng",12,2022
"344","Koati","2022-03-10","Independent","48yg4TFVIdI",13,2022
"345","Dog","2022-03-10","United Artists Releasing","V4tAtp-TyzQ",14,2022
"346","Desperate Hour, The","2022-03-10","Vertical Entertainment","kiwCH84GMhE",15,2022
"347","Ambulance","2022-03-17","Universal","7NU-STboFeI",16,2022
"348","X (2022)","2022-03-17","A24","Awg3cWuHfoc",17,2022
"349","Contractor, The","2022-03-24","Paramount","e7glvM8Xh0w",18,2022
"350","Georgetown","2022-03-24","Independent","-ch3BdXOgyc",19,2022
"351","Sonic The Hedgehog 2","2022-03-31","Paramount","G5kzUpWAusI",20,2022
"352","Morbius","2022-03-31","Sony","oZ6iiRrz1SY",21,2022
"353","Fantastic Beasts: The Secrets of Dumbledore","2022-04-07","Warner Bros.","Y9dr2zw-TXQ",23,2022
"354","Everything Everywhere All at Once","2022-04-07","A24","wxN1T1uxQ2g",24,2022
"355","Gasoline Alley","2022-04-07","Eammon Films","2H4Lfwc0U94",25,2022
"356","Mass","2022-04-07","Bleecker Street","oU56Ns1nXsE",26,2022
"357","Lost City, The","2022-04-14","Paramount","nfKO9rYDmE8",27,2022
"358","Demonic","2022-04-14","IFC Films","iIIiC4v7ON8",29,2022
"359","Northman, The","2022-04-21","Focus Features","oMSdFM12hOw",33,2022
"360","Unbearable Weight Of Massive Talent, The","2022-04-21","Lionsgate","CKTRbKch2K4",34,2022
"361","Dangerous (2021)","2022-04-28","Lionsgate Premiere Releasing","rFq52e7wYws",37,2022
"362","Seventh Day, The","2022-04-28","Vertical Entertainment","HJThAgic45Q",38,2022
"363","Fortress (2021)","2022-04-28","Lionsgate Premiere Releasing","GNGXauix9Mo",39,2022
"364","Doctor Strange in the Multiverse of Madness","2022-05-05","Disney","USBMj93ODog",41,2022
"365","Last Looks","2022-05-12","RLJ Entertainment","KvdfPq6HIzI",43,2022
"366","After Yang","2022-05-12","A24","Kwp32zLc08c",44,2022
"367","Memory (2022)","2022-05-19","Open Road/Briarcliff","yGw8yw6Mso8",46,2022
"368","Top Gun Maverick","2022-05-26","Paramount","qSqVVswa420",3,2022
"369","Jurassic World Dominion","2022-06-09","Universal","fb5ELWi-ekk",7,2022
"370","Elvis","2022-06-23","Warner Bros.","wBDLRvjHVOY",9,2022
"371","Black Phone, The","2022-06-23","Universal","3eGP6im8AZA",10,2022
"372","Deadlock (2021)","2022-06-23","Eammon Films","UoqRfsoa5c4",11,2022
"373","Minions: The Rise Of Gru","2022-06-30","Universal","CM-17oLBJ6U",12,2022
"374","Last Seen Alive","2022-06-30","Vertical Entertainment","5Gutb4hc5r4",13,2022
"375","Thor: Love And Thunder","2022-07-07","Disney","zXLCPzB3kZo",15,2022
"376","Gray Man, The","2022-07-14","Netflix","BmllggGO4pM",17,2022
"377","Black Site","2022-07-21","Vertical Entertainment","Gs9Z-XP57Hk",18,2022
"378","DC League of Super Pets","2022-07-28","Warner Bros.","1jkw2JPCl18",24,2022
"379","American Siege","2022-07-28","Vertical Entertainment","AdI6ea_0T0s",25,2022
"380","Book of Love","2022-07-28","","M_HTbI00qOU",26,2022
"381","Bullet Train","2022-08-04","Sony","0IOsk2Vlc4o",30,2022
"382","Men","2022-08-04","A24","pt81CJcWZy8",31,2022
"383","Easter Sunday","2022-08-04","Universal","YIixb42aJPg",32,2022
"384","Vigil, The","2022-08-11","IFC Films","YsMcckth7oU",34,2022
"385","Fortress: Sniper's Eye","2022-08-11","Lionsgate Premiere Releasing","uF4f_nlJpvY",35,2022
"386","Nope","2022-08-18","Universal","In8fuzj3gck",36,2022
"387","Blacklight","2022-08-18","Briarcliff","PE04ESdgnHI",37,2022
"388","After Ever Happy (Event)","2022-08-24","Fathom Entertainment","hLQ-5exgctI",44,2022
"389","Paradise Highway","2022-08-25","Lionsgate Premiere Releasing","zjv83li96BE",45,2022
"390","Beast","2022-09-01","Universal","oQMc7Sq36mI",46,2022
"391","Where The Crawdads Sing","2022-09-01","Sony","PY3808Iq0Tg",47,2022
"392","Ticket To Paradise","2022-09-15","Universal","hkP4tVTdsz8",1,2022
"393","Invitation, The","2022-09-15","Sony","5bL1ftuxgOE",2,2022
"394","Minamata","2022-09-15","Samuel Goldwyn Films","WP3pKTssw_E",3,2022
"395","Panama","2022-09-15","Eammon Films","Gbdm7vcPdwI",5,2022
"396","Don't Worry Darling","2022-09-22","Warner Bros.","SZ2elR3OmWI",11,2022
