"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"482","Never Rarely Sometimes Always","2023-06-23","Focus Features","7SApLTmbtvg",6,2023
"483","Indiana Jones and the Dial of Destiny","2023-06-29","Disney","HX8ROmTlds8",8,2023
"484","Ruby Gillman, Teenage Kraken","2023-06-29","Universal","iAMKwDsfUeU",9,2023
"485","Insidious: The Red Door","2023-07-06","Sony","ZuQuOnYnr3Q",14,2023
"486","Black Demon, The","2023-07-06","Variance Films","z1xJAyVKAPY",15,2023
"487","One True Loves","2023-07-06","Variance Films","87EeZG2n2po",16,2023
"488","Mission: Impossible - Dead Reckoning Part One","2023-07-12","Paramount","avz06PDqDbM",17,2023
"489","Elemental","2023-07-13","Disney","hXzcyx9V0xw",18,2023
"490","Barbie","2023-07-20","Warner Bros.","pBk4NYhWNMM",23,2023
"491","Oppenheimer","2023-07-20","Universal","uYPbbksJxIg",24,2023
"492","Haunted Mansion","2023-07-27","Disney","AjLKTz81bj8",27,2023
"493","Cobweb","2023-07-27","Lionsgate Premiere Releasing","hGY0icwlDGY",28,2023
"494","Meg 2: The Trench","2023-08-03","Warner Bros.","dG91B3hHyY4",29,2023
"495","Gran Turismo: Based on a True Story","2023-08-10","Sony","GVPzGBvPrzw",30,2023
"496","Teenage Mutant Ninja Turtles: Mutant Mayhem","2023-08-10","Paramount","IHvzw4Ibuho",31,2023
"497","Last Voyage of the Demeter, The","2023-08-10","Universal","6FgUUO9Ztd0",32,2023
"498","Blue Beetle","2023-08-17","Warner Bros.","vS3_72Gb-bI",36,2023
"499","Strays","2023-08-17","Universal","BzwOLKTbCUw",37,2023
"500","Equalizer 3, The","2023-08-31","Sony","19ikl8vy4zs",41,2023
"501","Good Person, A","2023-08-31","MGM","phRXBLwcy5I",42,2023
"502","Nun II, The","2023-09-07","Warner Bros.","QF-oyCwaArU",45,2023
"503","Retribution","2023-09-07","Roadside Attractions","jzQn0-WH4WM",46,2023
"504","After Everything (Event)","2023-09-13","Fathom Entertainment","smavD1fopZ8",49,2023
"505","Haunting in Venice, A","2023-09-14","20th Century Studios","yEddsSwweyE",50,2023
"506","Expend4bles","2023-09-21","Lionsgate","DhlaBO-SwVE",4,2023
"507","Dumb Money","2023-09-21","Sony","bmr8YmwnZ3w",5,2023
"508","Paw Patrol: The Mighty Movie","2023-09-28","Paramount","UDgjJ9XzgHk",8,2023
"509","Creator, The","2023-09-28","20th Century Studios","ex3C1-5Dhb8",9,2023
"510","Blood","2023-09-28","Vertical Entertainment","TZX6E0M47Q8",10,2023
