"","title","release_date","title_clean","title_clean_match"
"105","Good Boys","2019-08-22","good boys","good boys"
"106","47 Meters Down: Uncaged","2019-08-29","47 meters down uncaged","47 meters down uncaged"
"107","Art Of Racing In The Rain, The","2019-08-29","the art of racing in the rain","the art of racing in the rain"
"108","Peanut Butter Falcon, The","2019-08-29","the peanut butter falcon","the peanut butter falcon"
"109","IT Chapter Two","2019-09-05","it chapter two","it chapter two"
"110","Killerman","2019-09-05","killerman","killerman"
"111","Goldfinch, The","2019-09-12","the goldfinch","the goldfinch"
"112","Amazing Grace","2019-09-12","amazing grace","amazing grace"
"113","Ad Astra","2019-09-19","ad astra","ad astra"
"114","Charlie Says","2019-09-19","charlie says","charlie says"
"115","Rambo: Last Blood","2019-09-26","rambo last blood","rambo last blood"
"116","Hustlers","2019-09-26","hustlers","hustlers"
"117","Midsommar","2019-09-26","midsommar","midsommar"
"118","Joker","2019-10-03","joker","joker"
"119","Playmobil: The Movie","2019-10-03","playmobil the movie","playmobil the movie"
"120","Skin","2019-10-03","skin","skin"
"121","Gemini Man","2019-10-10","gemini man","gemini man"
"122","Current War, The","2019-10-10","the current war","the current war"
"123","Driven","2019-10-10","driven","driven"
"124","Maleficent: Mistress Of Evil","2019-10-17","maleficent mistress of evil","maleficent mistress of evil"
"125","Abominable (2019)","2019-10-17","abominable","abominable"
"126","After The Wedding","2019-10-17","after the wedding","after the wedding"
"127","10 Minutes Gone","2019-10-17","10 minutes gone","10 minutes gone"
"128","Mutant Blast","2019-10-17","mutant blast","mutant blast"
"129","Rainy Day in New York, A","2019-10-24","a rainy day in new york","a rainy day in new york"
"130","Zombieland: Double Tap","2019-10-24","zombieland double tap","zombieland double tap"
"131","Angel Of Mine","2019-10-24","angel of mine","angel of mine"
"132","Apollo 11","2019-10-24","apollo 11","apollo 11"
"133","Terminator: Dark Fate","2019-10-31","terminator dark fate","terminator dark fate"
"134","Addams Family, The","2019-10-31","the addams family","the addams family"
"135","Doctor Sleep","2019-10-31","doctor sleep","doctor sleep"
"136","Wanda (1970)","2019-10-31","wanda","wanda"
"137","Midway","2019-11-07","midway","midway"
"138","Playing With Fire","2019-11-07","playing with fire","playing with fire"
"139","Countdown (2019)","2019-11-07","countdown","countdown"
"140","Light Of My Life","2019-11-07","light of my life","light of my life"
"141","Ford v. Ferrari","2019-11-14","ford v ferrari","ford v ferrari"
"142","Motherless Brooklyn","2019-11-14","motherless brooklyn","motherless brooklyn"
"143","Frozen 2 (2019)","2019-11-21","frozen 2","frozen 2"
"144","Knives Out","2019-11-28","knives out","knives out"
"145","Charlie's Angels","2019-11-28","charlies angels","charlies angels"
"146","Where'd You Go Bernadette","2019-11-28","whered you go bernadette","whered you go bernadette"
"147","Last Christmas","2019-12-05","last christmas","last christmas"
"148","Aeronauts, The","2019-12-05","the aeronauts","the aeronauts"
"149","Jumanji: The Next Level","2019-12-12","jumanji the next level","jumanji the next level"
"150","21 Bridges","2019-12-12","21 bridges","21 bridges"
"151","Star Wars: The Rise Of Skywalker","2019-12-19","star wars the rise of skywalker","star wars the rise of skywalker"
"152","Can You Keep A Secret?","2019-12-19","can you keep a secret","can you keep a secret"
"153","Murder Of Nicole Brown Simpson, The","2019-12-19","the murder of nicole brown simpson","the murder of nicole brown simpson"
"154","Spies In Disguise","2019-12-25","spies in disguise","spies in disguise"
"155","Jexi","2019-12-25","jexi","jexi"
"156","Cats","2019-12-26","cats","cats"
