"Rank","Distributor","Movies","Gross","Tickets","Share","Year"
1,"Sony Pictures",19,1060067712,104234779,23.46,2021
2,"Walt Disney",9,921730490,90632298,20.4,2021
3,"Warner Bros.",20,652343903,64143944,14.44,2021
4,"Universal",16,649921500,63905751,14.39,2021
5,"United Artists",8,324853237,31942299,7.19,2021
6,"Paramount Pictures",7,278372768,27371952,6.16,2021
7,"20th Century Studios",7,200108719,19676373,4.43,2021
8,"Lionsgate",10,102864106,10114464,2.28,2021
9,"FUNimation",2,59656149,5865894,1.32,2021
10,"Focus Features",17,56565026,5561950,1.25,2021
11,"Searchlight Pictures",7,48181940,4737652,1.07,2021
12,"A24",7,30452920,2994385,0.67,2021
13,"Open Road",3,25288479,2486574,0.56,2021
14,"Fathom Events",3,14420711,1417964,0.32,2021
15,"Neon",12,13781403,1355098,0.31,2021
16,"Roadside Attractions",6,12156190,1195296,0.27,2021
17,"Sony Pictures Classics",11,8908361,875939,0.2,2021
18,"Bleecker Street",9,5728187,563237,0.13,2021
19,"Vertical Entertainment",16,4154507,408499,0.09,2021
20,"Atlas Distribution",6,3280748,322587,0.07,2021
21,"HEFG Releasing",1,2893660,284529,0.06,2021
22,"IFC Films",26,2642623,259830,0.06,2021
23,"Gravitas Ventures",3,2607831,256422,0.06,2021
24,"101 Studios",2,2469071,242779,0.05,2021
25,"Purdie Distribution",5,1871646,184034,0.04,2021
26,"Saban Films",2,1823677,179318,0.04,2021
27,"Faith Media Distribution",2,1361422,133865,0.03,2021
28,"STX Entertainment",2,1312024,129008,0.03,2021
29,"Trafalgar Releasing",1,1205000,118485,0.03,2021
30,"Pinnacle Peak",1,1170387,115082,0.03,2021
31,"Well Go USA",4,877095,86242,0.02,2021
32,"CMC Pictures",2,868810,85428,0.02,2021
33,"GKIDS",5,837548,82352,0.02,2021
34,"Greenwich",2,796960,78363,0.02,2021
35,"RLJ Entertainment",9,782154,76904,0.02,2021
36,"Magnolia Pictures",16,641567,63077,0.01,2021
37,"Screen Media Films",6,508544,50001,0.01,2021
38,"Freestyle Releasing",1,480774,47273,0.01,2021
39,"Self Distributed",4,473183,46526,0.01,2021
40,"ShortsHD",1,443050,43564,0.01,2021
41,"Quiver",1,409363,40252,0.01,2021
42,"IFC Midnight",8,385726,37924,0.01,2021
43,"Janus Films",1,328721,32322,0.01,2021
44,"Kino Lorber",12,326491,32099,0.01,2021
45,"Rialto Pictures",3,255828,25154,0.01,2021
46,"Rezinate Entertainment",1,241906,23786,0.01,2021
47,"Music Box Films",7,238652,23463,0.01,2021
48,"Picturehouse",1,232285,22840,0.01,2021
49,"Hamsini",1,220000,21632,0,2021
50,"Utopia",3,193791,19054,0,2021
51,"FilmRise",1,171208,16834,0,2021
52,"Oscilloscope Pictures",4,160080,15738,0,2021
53,"Good Deed Entertainment",3,155089,15248,0,2021
54,"LAMA Distribution",1,148091,14561,0,2021
55,"Indican Pictures",21,133220,13090,0,2021
56,"Aloha Releasing",1,120226,11821,0,2021
57,"Shout! Factory",2,115325,11339,0,2021
58,"Vision Films",1,102651,10093,0,2021
59,"MUBI",4,99345,9767,0,2021
60,"Zeitgeist",2,90405,8888,0,2021
61,"Excel Entertainment",1,87059,8560,0,2021
62,"Magnet Releasing",4,80745,7937,0,2021
63,"Safier Entertainment",1,54827,5391,0,2021
64,"Cohen Media Group",2,54403,5348,0,2021
65,"Blue Fox Entertainment",1,52733,5185,0,2021
66,"Dada Films",3,51308,5044,0,2021
67,"Super LTD",1,37266,3664,0,2021
68,"Entertainment Squad",1,33170,3261,0,2021
69,"Mutiny Pictures",2,18538,1822,0,2021
70,"MTV Documentary Films",1,17200,1691,0,2021
71,"Entertainment Studios Motion Pictures",1,15750,1548,0,2021
72,"Nova Vento Entertainment",1,15269,1501,0,2021
73,"ArtMattan Films",3,15078,1482,0,2021
74,"Whole Hog Films",1,13028,1281,0,2021
75,"Indie Rights",1,11010,1082,0,2021
76,"Integrity Releasing",1,7098,697,0,2021
77,"Variance Films",1,4617,453,0,2021
78,"Crescendo House Films",1,4501,442,0,2021
79,"Circle Collective",1,3000,294,0,2021
80,"The Ashton Times",1,130,12,0,2021
