Unnamed: 0,title,release_date,us_distributor,video_id
1,Twin Peaks: The Missing Pieces,2022-02-09,,bKoAf86-g2Q
2,Death on the Nile,2022-02-10,20th Century Studios,dZRqB0JLizw
3,Marry Me,2022-02-10,Universal,Ebv9_rNb5Ig
4,"Beatles: Get Back - The Rooftop Concert, The",2022-02-11,Disney,Auta2lagtw4
5,Uncharted,2022-02-17,Sony,eHp3MbsCbMg
6,Prisoners Of The Ghostland,2022-02-17,RLJ Entertainment,CeIfnDc0jvA
7,Blackboard Jungle (re: 1996),2022-02-17,Warner Bros.,Vb8BYNsAYHc
8,Band of Angels (re: 2009),2022-02-17,,M8HswczNQoc
9,Cyrano,2022-02-24,United Artists Releasing,5e8apSFDXsQ
10,"Quiet Man, The",2022-02-24,Republic,2kimSAyuIYc
11,"Batman, The",2022-03-03,Warner Bros.,mqqft2x_Aa4
12,Jackass Forever,2022-03-10,Paramount,FNq-QT2Jpng
13,Koati,2022-03-10,Independent,48yg4TFVIdI
14,Dog,2022-03-10,United Artists Releasing,V4tAtp-TyzQ
15,"Desperate Hour, The",2022-03-10,Vertical Entertainment,kiwCH84GMhE
16,Ambulance,2022-03-17,Universal,7NU-STboFeI
17,X (2022),2022-03-17,A24,Awg3cWuHfoc
18,"Contractor, The",2022-03-24,Paramount,e7glvM8Xh0w
19,Georgetown,2022-03-24,Independent,-ch3BdXOgyc
20,Sonic The Hedgehog 2,2022-03-31,Paramount,G5kzUpWAusI
21,Morbius,2022-03-31,Sony,oZ6iiRrz1SY
22,"Lighthouse, The (2019) (re)",2022-04-06,,SrlAsjra0qc
23,Fantastic Beasts: The Secrets of Dumbledore,2022-04-07,Warner Bros.,Y9dr2zw-TXQ
24,Everything Everywhere All at Once,2022-04-07,A24,wxN1T1uxQ2g
25,Gasoline Alley,2022-04-07,Eammon Films,2H4Lfwc0U94
26,Mass,2022-04-07,Bleecker Street,oU56Ns1nXsE
27,"Lost City, The",2022-04-14,Paramount,nfKO9rYDmE8
28,"Bad Guys, The",2022-04-14,Universal,HvLHYox_Vq8
29,Demonic,2022-04-14,IFC Films,iIIiC4v7ON8
30,Two Rode Together,2022-04-14,,UhJfAo5RMYI
31,Moby Dick (Re 2011),2022-04-14,,fM-7qTW6OjI
32,"Tall Men, The (re)",2022-04-14,,xcMmLTJmO5c
33,"Northman, The",2022-04-21,Focus Features,oMSdFM12hOw
34,"Unbearable Weight Of Massive Talent, The",2022-04-21,Lionsgate,CKTRbKch2K4
35,Cheyenne Autumn,2022-04-21,,1rn77EmA5ek
36,Bend of the River (re),2022-04-26,Independent,kkJU9H6ol5k
37,Dangerous (2021),2022-04-28,Lionsgate Premiere Releasing,rFq52e7wYws
38,"Seventh Day, The",2022-04-28,Vertical Entertainment,HJThAgic45Q
39,Fortress (2021),2022-04-28,Lionsgate Premiere Releasing,GNGXauix9Mo
40,Unconquered (re),2022-04-28,Universal,sDVGOZpvsxI
41,Doctor Strange in the Multiverse of Madness,2022-05-05,Disney,USBMj93ODog
42,Reel Rock 16,2022-05-05,,HtM4-K_CCZA
43,Last Looks,2022-05-12,RLJ Entertainment,KvdfPq6HIzI
44,After Yang,2022-05-12,A24,Kwp32zLc08c
45,"Ox-Bow Incident, The (re 05)",2022-05-16,,9FM-mpfEk6M
46,Memory (2022),2022-05-19,Open Road/Briarcliff,yGw8yw6Mso8
47,Twenty One Pilots Cinema Experience,2022-05-19,Trafalgar Releasing,23gp-Sf1Oo8
48,All That Jazz,2022-05-20,20th Century Fox,SMqyZKNAVuU
49,Wild at Heart,2022-05-21,Goldwyn Entertainment,n2YCseaZK0Q
50,Barton Fink,2022-05-22,20th Century Fox,7Hj2vzqNgKU
