title,release_date,us_distributor,video_id
"Old Man & The Gun, The",2019-01-03,Fox Searchlight,d7rlUe-Thvk
Holmes And Watson,2019-01-03,Sony,brjkpRBpFnc
"Kindergarten Teacher, The",2019-01-03,,S7Tpamr2P4w
Here And Now (2018),2019-01-03,Independent,TOWhOVx8IMI
True Crimes,2019-01-03,Independent,QEijgVViWpw
Escape Room,2019-01-10,Sony,6dSKUoV0SNI
On The Basis Of Sex,2019-01-10,Focus Features,28dHbIR_NB4
Vox Lux,2019-01-10,Neon Rated,-y4ti900jog
Once Upon A Deadpool,2019-01-10,20th Century Fox,PCf03KXyzIg
Glass,2019-01-17,Universal,95ghQs5AmNk
Green Book,2019-01-24,Universal,QkZxoko_HC0
Instant Family,2019-01-24,Paramount,IUfZq3DUd3Y
Serenity,2019-01-24,Aviron Pictures,k3zMlsEK8xA
"Mule, The",2019-01-31,Warner Bros.,N_QksSzK7sI
"Upside, The",2019-01-31,STX Entertainment,EWw7rCHcduQ
At Eternity's Gate,2019-01-31,CBS Films,T77PDm3e1iE
Destroyer,2019-01-31,Annapurna Pictures,u7RdFFk7980
Cold Pursuit,2019-02-07,Lionsgate,0phuNQQ_gHI
"Favourite, The",2019-02-07,Fox Searchlight,SYb-wkehT1g
"Possession Of Hannah Grace, The",2019-02-07,Sony,RHAgri92JP8
Alita: Battle Angel,2019-02-14,20th Century Fox,w7pYhpJaJW8
Vice,2019-02-14,Annapurna Pictures,g09a9laLh0k
Happy Death Day 2U,2019-02-14,Universal,MT9MBytHuOI
How To Train Your Dragon: The Hidden World,2019-02-21,Universal,22w7z_lT6YM
If Beale Street Could Talk,2019-02-21,Annapurna Pictures,N4m3t3G3Zqc
"Sisters Brothers, The",2019-02-21,Annapurna Pictures,3OwvqKwTKmE
Dead Trigger,2019-02-21,Independent,izyn-jBgTF0
"Monrovia, Indiana",2019-02-21,Zipporah,I2LlM3zSyls
"Lego Movie 2: The Second Part, The",2019-02-28,Warner Bros.,cksYkEzUa7k
"Prodigy, The",2019-02-28,Orion Pictures,BC4cyYRxjFk
Backtrace,2019-02-28,Lionsgate Premiere Releasing,af-tf7i6d6s
Captain Marvel,2019-03-07,Disney,rryMP7aJ12o
Drunk Parents,2019-03-07,Vertical Entertainment,6XdkzKSCcU4
Replicas,2019-03-14,Entertainment Studios Motion Pictures,bKdpGHazAqs
Us (2019),2019-03-21,Universal,hNCmb-4oXJA
Dumplin,2019-03-21,,k86KDFh_q6E
"Kid Like Jake, A",2019-03-21,IFC Films,VTMGI2s5VNs
Dumbo,2019-03-28,Disney,7NiYVoqBt-8
Triple Threat (2019),2019-03-28,"Well Go USA, Inc.",DovnHrIwfTY
Destination Wedding,2019-03-28,Independent,6mrA5ESIbOU
Captive State,2019-03-28,Focus Features,i68xCzI406A
Shazam!,2019-04-04,Warner Bros.,go6GEIrcvFY
Pet Sematary,2019-04-04,Paramount,VllcgXSIJkE
Piercing,2019-04-04,Greenwich Entertainment,T1fJqA1JuYk
After (2019),2019-04-11,Aviron Pictures,g99KPOpqZ4Q
Wonder Park,2019-04-11,Paramount,VML6rQWssSk
Hellboy,2019-04-11,Lionsgate,dt5g5_1cKVk
Greta (2019),2019-04-11,Focus Features,WAEoJkL_8zU
"Curse Of La Llorona, The",2019-04-18,Warner Bros.,uOV-xMYQ7sk
"Aftermath, The",2019-04-18,Fox Searchlight,FPv3e2FZOgo
