Unnamed: 0,title,release_date,us_distributor,video_id
1,Avatar: The Way of Water,2022-12-15,20th Century Studios,d9MyW72ELq0
2,"Fabelmans, The",2022-12-22,Universal,D1G2iLSzOe8
3,Whitney Houston: I Wanna Dance with Somebody,2022-12-22,Sony,9tfemzaMkoU
4,Rock Dog 3 Battle the Beat,2022-12-22,,M_1MLmo_PbA
5,North By Northwest (1959),2022-12-22,MGM,DTH7P7Bw4kg
6,"Fortune Cookie, The",2022-12-22,United Artists,F65xGJdwTgs
7,Angel (1937),2022-12-22,Paramount,p0cCFfUiaEM
8,Shotgun Wedding,2022-12-29,,qNVwRHQL8jw
9,Bed Rest,2022-12-29,,P1wZvRRJSvs
10,Wrong Place,2023-01-05,Vertical Entertainment,8vWueKwt4VM
11,Bitter Victory (1957),2023-01-08,Columbia,R4VziGmpotQ
12,"Man Called Otto, A",2023-01-12,Sony,eFYUX9l-m5I
13,M3GAN,2023-01-12,Universal,BRb4U99OU80
14,Plane,2023-01-12,Lionsgate,M25zXBIUVr0
15,Design for Living (1933),2023-01-12,Paramount,Dk2xjxgryDc
16,Babylon,2023-01-19,Paramount,5muQK7CuFtY
17,Terrifier 2,2023-01-19,Iconic Events,6KkONLf_ZKU
18,Operation Fortune: Ruse de Guerre,2023-01-26,Lionsgate,WdZ-BWWQcWQ
19,Maybe I Do,2023-01-26,Vertical Entertainment,Z11QkNvMZpc
20,"Son, The",2023-01-26,Sony Pictures Classics,SJWRY4DzoAQ
21,Out Of The Past (1947),2023-01-26,RKO Film,bMgGuCIZnsM
22,They Drive by Night,2023-01-26,,Hd0VNz_zPO0
23,"Man From Laramie, The",2023-01-26,Columbia,pTISRce_XsY
24,Knock at the Cabin,2023-02-02,Universal,0wiBHEACNHs
25,"Inspection, The",2023-02-02,A24,owkpFHP13R8
26,Hot Seat,2023-02-02,Lionsgate Premiere Releasing,twQePz-lkXE
27,Magic Mike's Last Dance,2023-02-09,Warner Bros.,pBIGdw-BRxw
28,TÁR,2023-02-09,Focus Features,Na6gA1RehsU
29,Titanic 25 Year Anniversary,2023-02-09,Paramount,oHY7D7K58BM
30,Ant-Man and the Wasp: Quantumania,2023-02-16,Disney,5WfTEZJnv_8
31,To Leslie,2023-02-16,Momentum Pictures,2XOFxJjimAk
32,Missing (2023),2023-02-23,Sony,seBixtcx19E
33,Cocaine Bear,2023-02-23,Universal,DuWEEKeJLMI
34,Rear Window (1954),2023-02-24,Paramount,R1Av5y_VUdQ
35,Fantasia (re) '90,2023-02-26,Disney,bMe15j1eRc0
36,Creed III,2023-03-02,MGM,AHmCH7iB_IM
37,"Whale, The",2023-03-02,A24,nWiQodhMvz4
38,Scream VI,2023-03-09,Paramount,h74AXqw4Opc
39,65,2023-03-09,Sony,bHXejJq5vr0
40,Paws of Fury: The Legend of Hank,2023-03-09,Paramount,A_hkjvjx2ek
41,Women Talking,2023-03-09,United Artists Releasing,pD0mFhMqDCE
42,Savage Salvation,2023-03-09,Independent,67mj224y6hw
43,Ambush,2023-03-09,Eammon Films,bvcacc5eLUY
44,Shazam! Fury Of The Gods,2023-03-16,Warner Bros.,Zi88i4CpHe4
45,Psycho (1960) (re),2023-03-16,Universal,x4E68ShSTQk
46,John Wick: Chapter 4,2023-03-23,Lionsgate,qEVUtrk8_B4
47,Till,2023-03-23,United Artists Releasing,NXd9DArUmCU
48,Call Jane,2023-03-23,Roadside Attractions,U-1pUnTsSQc
49,Pulp Fiction (1994),2023-03-23,Miramax,tGpTpVyI_OQ
50,Lilith (1964),2023-03-23,Columbia,0b86Ed1xbVM
