Unnamed: 0,title,release_date,us_distributor,video_id
1,Ticket To Paradise,2022-09-15,Universal,hkP4tVTdsz8
2,"Invitation, The",2022-09-15,Sony,5bL1ftuxgOE
3,Minamata,2022-09-15,Samuel Goldwyn Films,WP3pKTssw_E
4,Moonage Daydream,2022-09-15,Neon Rated,GSbbDCV45OI
5,Panama,2022-09-15,Eammon Films,Gbdm7vcPdwI
6,"Birds, The (Re 2012)",2022-09-15,,A4U2pMRV9_k
7,"Effect of gamma rays on Man-in-the-Moon Marigolds, The (re 2017)",2022-09-15,,U8lG53h2_LI
8,Rio Bravo (1959),2022-09-15,Warner Bros.,1DZRFdYhr4s
9,Wind Across the Everglades,2022-09-15,,r5eexpL9tWA
10,Avatar (2009) (re),2022-09-22,20th Century Studios,5PSNL1qE6VY
11,Don't Worry Darling,2022-09-22,Warner Bros.,SZ2elR3OmWI
12,Smile (2022),2022-09-29,Paramount,BcDK7lkzzsU
13,12 Angry Men,2022-09-29,United Artists,TEN-2uTi2c0
14,Anatomy Of A Murder,2022-09-29,Columbia,wVWflGXIj9E
15,Moonfleet,2022-09-29,,BZ2W5DE-jE8
16,"Woman King, The",2022-10-05,Sony,3RDaPV_rJ1Y
17,Orphan: First Kill,2022-10-05,Paramount,_uX6of3vBu0
18,"Tarnished Angels, The",2022-10-06,Universal,G73wu6R-Qbw
19,Written on the Wind,2022-10-06,Universal,PxAPUOjKj_c
20,Rancho Notorious (re:2011),2022-10-12,,aark3zMGGVY
21,Halloween Ends,2022-10-13,Universal,i_mAWKyfj6c
22,"Good House, The",2022-10-13,Roadside Attractions,xHMH3phhsOk
23,Black Adam,2022-10-20,Warner Bros.,X0tOpBuYasI
24,Cinderella and the Spellbinder,2022-10-20,,qciXWBU83vM
25,"Exorcismo de Dios, El",2022-10-20,Eammon Films,JAMdGGDxkIQ
26,"Lyle, Lyle, Crocodile",2022-10-27,Sony,s0W6O7mSlaU
27,Amsterdam,2022-10-27,20th Century Studios,GLs2xxM0e78
28,Prey for the Devil,2022-10-27,Lionsgate,u_jJiZ2oZgs
29,Annie Hall,2022-10-27,United Artists,jQkZXtllZ3k
30,"Enforcer, The",2022-11-03,Screen Media Films,Azn3pCtpCC4
31,Fall,2022-11-03,Lionsgate,iSspRSGc4Dk
32,"Confess, Fletch",2022-11-03,Paramount,pb2Pu5EjC1s
33,Duran Duran - A Hollywood High,2022-11-03,Abramorama,9wks26xEaoc
34,Survive the Game,2022-11-03,Lionsgate Premiere Releasing,xT8uydi9bDQ
35,Bell Book and Candle,2022-11-04,Columbia,TE7mcmngMFY
36,"Searchers, The (re: 2015)",2022-11-08,,oRH7oaBQuaY
37,Black Panther: Wakanda Forever,2022-11-10,Disney,X109HCjxVIo
38,She Said,2022-11-17,Universal,i5pxUQecM3Y
39,Cinderella And The Secret Prince,2022-11-17,Independent,AGD1DeE7R30
40,Strange World,2022-11-24,Disney,bKh2G73gCCs
41,Devotion,2022-11-24,Sony,NCDEGP6VjYY
42,Bros,2022-11-24,Universal,BQIeBB9XMe8
43,What Ever Happened To Baby Jane? (re: 2004),2022-11-24,,2b9LTSuD-n0
44,Guillermo del Toro's Pinocchio,2022-11-24,Netflix,Od2NW1sfRdA
45,"Menu, The",2022-12-01,Searchlight,C_uTkUGcHv4
46,Violent Night,2022-12-01,Universal,a53e4HHnx_s
47,Poker Face,2022-12-01,Screen Media Films,JAZV5DxV3Gw
48,"Family Jewels, The",2022-12-01,,snPppDd6PQM
49,Puss In Boots: The Last Wish,2022-12-08,Universal,RqrXhwS33yc
50,White Noise,2022-12-08,Netflix,SgwKZAMx_gM
