Unnamed: 0,title,release_date,us_distributor,video_id
1,Harold and Maude (re: 2012),2023-06-19,,GwDpY6g5h-Y
2,No Hard Feelings,2023-06-22,Sony,P15S6ND8kbQ
3,Asteroid City,2023-06-22,Focus Features,9FXCSXuGTF4
4,"Wrath of Becky, The",2023-06-22,Amor Media,Q-RnvQACrH0
5,"Grand Budapest Hotel, The (2014) (re)",2023-06-22,,V-aWDKWhPmw
6,Never Rarely Sometimes Always,2023-06-23,Focus Features,7SApLTmbtvg
7,Esther Newton Made Me Gay,2023-06-24,,sTak3GWWXO8
8,Indiana Jones and the Dial of Destiny,2023-06-29,Disney,HX8ROmTlds8
9,"Ruby Gillman, Teenage Kraken",2023-06-29,Universal,iAMKwDsfUeU
10,Cop Land (1997),2023-06-29,Miramax,D3HSm83eXgo
11,Before You Know It (2014),2023-07-01,Independent,6W-8MDaccpM
12,Walk the Line (2005) (re) (Spain),2023-07-02,,pbQ22zWPYbw
13,Ziggy Stardust: 50th Anniversary Event,2023-07-03,Iconic Events,Sc39uFmVQB4
14,Insidious: The Red Door,2023-07-06,Sony,ZuQuOnYnr3Q
15,"Black Demon, The",2023-07-06,Variance Films,z1xJAyVKAPY
16,One True Loves,2023-07-06,Variance Films,87EeZG2n2po
17,Mission: Impossible - Dead Reckoning Part One,2023-07-12,Paramount,avz06PDqDbM
18,Elemental,2023-07-13,Disney,hXzcyx9V0xw
19,"Thing, The (1982)",2023-07-13,Universal,SFaTFOUz9gc
20,Cry Baby,2023-07-13,Universal,OtdqC22tfv0
21,Rock Bottom Riser,2023-07-13,Independent,dmO6B_s-KMk
22,I Am Sam,2023-07-16,New Line Cinema,hCszp54Qcoc
23,Barbie,2023-07-20,Warner Bros.,pBk4NYhWNMM
24,Oppenheimer,2023-07-20,Universal,uYPbbksJxIg
25,Torn Curtain (1966),2023-07-20,Universal,ZwtiA4T7VlM
26,Hell and High Water (1954) (re),2023-07-25,,P1zyh_whgVQ
27,Haunted Mansion,2023-07-27,Disney,AjLKTz81bj8
28,Cobweb,2023-07-27,Lionsgate Premiere Releasing,hGY0icwlDGY
29,Meg 2: The Trench,2023-08-03,Warner Bros.,dG91B3hHyY4
30,Gran Turismo: Based on a True Story,2023-08-10,Sony,GVPzGBvPrzw
31,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-08-10,Paramount,IHvzw4Ibuho
32,"Last Voyage of the Demeter, The",2023-08-10,Universal,6FgUUO9Ztd0
33,See You on Venus,2023-08-10,Vertical Entertainment,8l3vQ7cyqeY
34,Two Weeks In Another Town,2023-08-13,MGM,sgY2L7NdGN0
35,Roman Holiday (1953),2023-08-15,Paramount,2vm2FdHg7Io
36,Blue Beetle,2023-08-17,Warner Bros.,vS3_72Gb-bI
37,Strays,2023-08-17,Universal,BzwOLKTbCUw
38,Metallica M72 World Tour Live from TX #1,2023-08-19,Trafalgar Releasing,ieEWQjbQ7V8
39,Metallica M72 World Tour Live from TX #2,2023-08-20,Trafalgar Releasing,-frmj62OUV4
40,"Silk Road Rally, The",2023-08-24,Viva Pictures Distribution,6S1oRHIpV3w
41,"Equalizer 3, The",2023-08-31,Sony,19ikl8vy4zs
42,"Good Person, A",2023-08-31,MGM,phRXBLwcy5I
43,"Exorcist, The (1973)",2023-08-31,Warner Bros.,PIxpPMyGcpU
44,Grapes of Wrath,2023-08-31,20th Century Fox,JzOIRcYj8dE
45,"Nun II, The",2023-09-07,Warner Bros.,QF-oyCwaArU
46,Retribution,2023-09-07,Roadside Attractions,jzQn0-WH4WM
47,To Live and Die in L.A.,2023-09-07,MGM,_tq018xnM7w
48,Stop Making Sense Remastered,2023-09-12,A24,-rjMwSTeVeo
49,After Everything (Event),2023-09-13,Fathom Entertainment,smavD1fopZ8
50,"Haunting in Venice, A",2023-09-14,20th Century Studios,yEddsSwweyE
