Unnamed: 0,title,release_date,us_distributor,video_id
1,"French Connection, The (1971)",2023-09-14,20th Century Fox,XjCR94HR2g8
2,Cruising (re),2023-09-14,Warner Bros.,avz06PDqDbM
3,Ghostbusters (re: 2014),2023-09-16,,ahZFCF--uRY
4,Expend4bles,2023-09-21,Lionsgate,DhlaBO-SwVE
5,Dumb Money,2023-09-21,Sony,bmr8YmwnZ3w
6,Ted K,2023-09-21,Neon Rated,
7,Carlos,2023-09-23,Sony Pictures Classics,Vj_kMqw8i3A
8,Paw Patrol: The Mighty Movie,2023-09-28,Paramount,UDgjJ9XzgHk
9,"Creator, The",2023-09-28,20th Century Studios,ex3C1-5Dhb8
10,Blood,2023-09-28,Vertical Entertainment,TZX6E0M47Q8
11,"Exorcist: Believer, The",2023-10-05,Universal,PIxpPMyGcpU
12,Misanthrope,2023-10-05,Vertical Entertainment,DckI7n1_q2Q
13,"Man Who Shot Liberty Valance, The",2023-10-05,Paramount,Z3cR7XPQUzc
14,Young Mr. Lincoln,2023-10-05,20th Century Fox,9JDOVrOPHzA
15,Robinson Crusoe (1954),2023-10-05,United Artists,NcEOr64cSzI
16,57 Seconds,2023-10-12,Independent,L8XsJ4O1YJ0
17,"Whole Town's Talking, The",2023-10-12,Columbia,jXChkfCpN2A
18,TAYLOR SWIFT THE ERAS TOUR,2023-10-13,Variance Films,KudedLV0tP0
19,Caged (1950),2023-10-14,Warner Bros.,yzJ2S2_S4T0
20,Killers of the Flower Moon,2023-10-19,Paramount,7cx9nCHsemc
21,"Hunger Games (2023 Event), The",2023-10-19,Fathom Entertainment,MjFhOwKitFM
22,Perpetrator,2023-10-19,Independent,_KZLh-FXjKU
23,NYAD,2023-10-19,Netflix,3anCgVSQb3Q
24,Trolls Band Together,2023-10-26,Universal,qZ40Z62tcXM
25,Saw X,2023-10-26,Lionsgate,t3PzUo4P21c
26,How Green Was My Valley,2023-10-26,20th Century Fox,ktjwzgwRZQ4
27,My Darling Clementine,2023-10-26,20th Century Fox,oQA33nAbuiU
28,"Killer, The (2023)",2023-10-26,Netflix,5S7FR_HCg9g
29,Five Nights at Freddy's,2023-11-01,Universal,0VH9WCFV6XQ
30,Kandahar,2023-11-01,Open Road/Briarcliff,WHs6z9RPGtA
31,"Marsh King's Daughter, The",2023-11-01,Roadside Attractions,FDnUVhLMqI0
32,She Came to Me,2023-11-01,Vertical Entertainment,ZCbiKiw-Azs
33,Travels with My Aunt (1972) (re),2023-11-03,,ypIbTpnuNgg
34,"Big Lebowski, The (re)",2023-11-06,Universal,c57cfPO7rBE
35,"Marvels, The",2023-11-09,Disney,8NCsKgNcpEE
36,It Lives Inside,2023-11-09,Neon Rated,a5xUbuYHdi8
37,Dolly Parton ROCKSTAR: The Global First Listen Event,2023-11-15,Trafalgar Releasing,_qi5fR5NScE
38,"Hunger Games: The Ballad of Songbirds & Snakes, The",2023-11-16,Lionsgate,RDE6Uz73A7g
39,Freelance,2023-11-16,Emick,BrqWlOzm2Iw
40,Master Gardener,2023-11-16,Magnolia Pictures,ZzD5Rx-yhO8
41,Wish,2023-11-23,Disney,ctlz0R1tSZE
42,Napoleon,2023-11-23,Sony,OAZWXUkrjPc
43,Thanksgiving,2023-11-30,Sony,KbU50SdL8zA
44,May December,2023-11-30,Netflix,_2wg45bRRF8
45,"Streetcar Named Desire, A (1951) (re)",2023-11-30,,A5SLQ4cHAwY
46,Tobacco Road,2023-11-30,20th Century Fox,c2TV7V_koGc
47,RENAISSANCE: A FILM BY BEYONCE,2023-12-01,Variance Films,BGYIXarTNbA
48,Casablanca (1942) (re),2023-12-03,Warner Bros.,dvWZzS6IbS8
49,King Of Comedy (1983),2023-12-04,20th Century Fox,BOpbikZm3JY
50,Wonka,2023-12-07,Warner Bros.,otNh9bTjXWg
