Unnamed: 0,title,release_date,us_distributor,video_id
1,Dream Scenario,2024-06-13,A24,q3x9iUL-74w
2,Little Women (2019) (re),2024-06-16,,KlBRqoxEc8o
3,To Catch A Thief (1955),2024-06-17,Paramount,jahsI4VifPo
4,Tetro (2009) (re),2024-06-17,,2NN5CRlcljY
5,"Bikeriders, The",2024-06-20,Focus Features,BrSaVt5pvPk
6,GHOST: RITE HERE RITE NOW,2024-06-20,Trafalgar Releasing,GJVgZX-vQUc
7,Despicable Me 4,2024-06-27,Universal,qQlr9-rF32A
8,"Quiet Place: Day One, A",2024-06-27,Paramount,YPY7J-flzE8
9,"Sweet East, The",2024-06-27,Utopia Media,hJgNw9deqtc
10,Touch Of Evil (1958) (re),2024-06-27,Universal,
11,Horizon: An American Saga Chapter 1,2024-07-04,Warner Bros.,YYsReoZMj1k
12,One from the Heart: Reprise,2024-07-04,Rialto,G8OdSGjOBR4
13,Repo Man,2024-07-05,Universal,2nKJhH8L9_w
14,Inside Out 2,2024-07-11,Disney,LEjhY15eCx0
15,Fly Me to the Moon,2024-07-11,Sony,lW7enw6mFxs
16,Freud's Last Session,2024-07-11,Sony Pictures Classics,hPJM9lEMyV4
17,To Have And Have Not (1944),2024-07-11,Warner Bros.,DqSJxa3hT60
18,"Big Sleep, The (1946)",2024-07-11,Warner Bros.,5X5OamLAiEM
19,"Adventures Of Buckaroo Banzai Across The 8th Dimension, The",2024-07-12,20th Century Fox,G93EgDoyKs4
20,Twisters,2024-07-18,Universal,wdok0rZdmx4
21,Chief of Station,2024-07-18,Vertical Entertainment,Krsu0mazuZ4
22,Memory,2024-07-18,Emick,A3sOCO8mhS8
23,Today We Live,2024-07-18,,AuB9FF5qCSA
24,Land of the Pharoahs,2024-07-18,Independent,yaMrCsnjUss
25,RoboCop (1987),2024-07-19,Orion Pictures,44k3D5FhdcQ
26,Deadpool & Wolverine,2024-07-25,Disney,9wV42pvAbAk
27,Longlegs,2024-07-25,Neon Rated,OG7wOTE8NhE
28,They Live,2024-07-26,Universal,-5X2pt95cIo
29,Trap,2024-08-01,Warner Bros.,hJiPAJKjUVg
30,Knox Goes Away,2024-08-01,Eammon Films,bZ8SeYVnc9A
31,It Ends with Us,2024-08-08,Sony,DLET_u31M4M
32,Borderlands,2024-08-08,Lionsgate,lU_NKNZljoQ
33,Four Horsemen Of The Apocalypse,2024-08-08,MGM,HIRqMu_MHSI
34,"Bad And The Beautiful, The (re)",2024-08-08,Warner Bros.,gMuQaq_hPGI
35,Alien: Romulus,2024-08-15,20th Century Studios,OzY2r2JXsDM
36,Harold and the Purple Crayon,2024-08-15,Sony,WojIv-PVYm8
37,Coraline 15th Anniversary,2024-08-15,Fathom Entertainment,T6iQnnHNF50
38,Gracie & Pedro: Pets to the Rescue!,2024-08-15,Second Chance Productions,eqadP5cDBUg
39,Home from the hill,2024-08-15,,3eqxXqJDmcY
40,"Barefoot Contessa, The",2024-08-18,United Artists,x7iVp4H6X0k
41,Blink Twice,2024-08-22,Amazon MGM Studios,aMcmfonGWY4
42,"Crow, The",2024-08-22,Lionsgate,djSKp_pwmOA
43,In the Land of Saints and Sinners,2024-08-22,Variance Films,lWwhYRxhngc
44,Robots,2024-08-22,Neon Rated,DD4WBGptMSw
45,Hellboy: The Crooked Man,2024-08-29,,6UEO6QTbvKc
46,Longing,2024-08-29,Independent,cx0wrMWZd4g
47,Deliver Us,2024-08-29,Magnolia Pictures,hlEo8c68cQ0
48,Don't Turn Out the Lights,2024-08-29,,6RMxIBMppwY
49,Play Dead,2024-08-29,Vertical Entertainment,72KaDGRKwYY
50,Beetlejuice Beetlejuice,2024-09-05,Warner Bros.,CoZqL9N6Rx4
