Unnamed: 0,title,release_date,us_distributor,video_id
1,"Stand-In, The",2021-07-01,Eammon Films,b0ZKeBUUtr0
2,Black Widow,2021-07-08,Disney,M3khLMdKJIU
3,Every Breath You Take,2021-07-08,Vertical Entertainment,9dMHedhCYOI
4,Escape Room: Tournament of Champions,2021-07-15,Sony,KlfUbZJVInA
5,Space Jam: A New Legacy,2021-07-15,Warner Bros.,olXYZOsXw_o
6,Gunpowder Milkshake,2021-07-15,Netflix,H7ZrjXuNgmA
7,Snake Eyes,2021-07-22,Paramount,Vd2sm63Xwfw
8,"Comeback Trail, The",2021-07-22,PRJKTD,H9aJATnSseo
9,Sweet Thing,2021-07-22,Independent,YKUBI8mrt2o
10,Jungle Cruise,2021-07-29,Disney,f_HvoipFcA8
11,Old,2021-07-29,Universal,A4U2pMRV9_k
12,Snowpiercer (2013) (re),2021-07-29,,-hsPIBFOHOI
13,"Suicide Squad, The",2021-08-05,Warner Bros.,JuDLepNa7hw
14,To the Stars (dir. Stephens),2021-08-05,,T5OhkFY1PQE
15,Above Suspicion,2021-08-05,Independent,5hta-4X7Z50
16,Night Of The Living Dead (1968),2021-08-11,Continental Motion Pictures Corporation,pd5a0gs-UCQ
17,Respect,2021-08-12,United Artists Releasing,qTtxoz3OIlU
18,Don't Breathe 2,2021-08-12,Sony,gRbG2tjHYCA
19,Boss Level,2021-08-12,Independent,PGHD0bqjZWQ
20,Echo Boomers,2021-08-12,Eammon Films,8CJivh4gr-Q
21,"Little Shop Of Horrors, The (1960)",2021-08-18,Warner Bros.,QqFZuR6UzjA
22,Free Guy,2021-08-19,20th Century Studios,X2m-08cOAbc
23,Paw Patrol,2021-08-19,Paramount,LRMTr2VZcr8
24,Reminiscence,2021-08-19,Warner Bros.,_BggT--yxf0
25,Barb And Star Go To Vista del Mar,2021-08-19,,yvmDgXfYPbA
26,Carnival Of Souls,2021-08-25,Independent,tqMEbW7Pe2I
27,"Boss Baby: Family Business, The",2021-08-26,Universal,prWBrMJOg2k
28,Candyman,2021-08-26,Universal,tlwzuZ9kOQU
29,"Protege, The",2021-08-26,Lionsgate,fSqa0a3mGk8
30,Queenpins,2021-08-26,STX Entertainment,v90YxH6lR_8
31,Shang-Chi and the Legend of the Ten Rings,2021-09-02,Disney,8YjFbMbfXaQ
32,After We Fell (Event),2021-09-02,Fathom Entertainment,SLdPPObqlmc
33,Come Away,2021-09-02,Relativity UV,9PpfMd5x3pk
34,Malignant,2021-09-09,Warner Bros.,Gczt0fhawDs
35,Rock Dog 2,2021-09-09,,UoYB1Zn6lR4
36,"Green Knight, The",2021-09-09,A24,sS6ksY8xWCY
37,What Is Life Worth,2021-09-09,,1dENT2CRCKo
38,Cry Macho,2021-09-16,Warner Bros.,JVc8SI5CAKw
