Unnamed: 0,title,release_date,us_distributor,video_id
1,Stockholm (2019),2019-08-08,Smith Global Media,Hna6_rWLXAQ
2,Photograph,2019-08-08,Amazon Studios,LwOGIlpPqek
3,Malicious (2018),2019-08-08,Vertical Entertainment,OWCXSq61iMI
4,Once Upon A Time In Hollywood,2019-08-15,Sony,ELeMaP8EPAA
5,"Angry Birds Movie 2, The",2019-08-15,Sony,RSKQ-lVsMdg
6,Booksmart,2019-08-15,United Artists Releasing,S0Mb6BgnhS0
7,Nomis,2019-08-15,Independent,Rh7ZsUVCrpM
8,Angel Has Fallen,2019-08-22,Lionsgate,XF8h3hOGBJM
9,Ready Or Not,2019-08-22,Fox Searchlight,ZtYTwUxhAoI
10,Good Boys,2019-08-22,Universal,zPXqwAGmX04
11,47 Meters Down: Uncaged,2019-08-29,Entertainment Studios Motion Pictures,zF3lM_EPh2U
12,"Art Of Racing In The Rain, The",2019-08-29,20th Century Fox,Dp2ufFO4QGg
13,"Peanut Butter Falcon, The",2019-08-29,Roadside Attractions,UNl9RqjLCwc
14,IT Chapter Two,2019-09-05,Warner Bros.,xhJ5P7Up3jA
15,Killerman,2019-09-05,Blue Fox Entertainment,i5niXDUtGEM
16,"Goldfinch, The",2019-09-12,Warner Bros.,IcG06hZooHM
17,Amazing Grace,2019-09-12,Neon Rated,q9jPDXghVHQ
18,Ad Astra,2019-09-19,20th Century Fox,P6AaSMfXHbA
19,Charlie Says,2019-09-19,IFC Films,KPSKkxTQFEU
20,Rambo: Last Blood,2019-09-26,Lionsgate,4vWg5yJuWfs
21,Hustlers,2019-09-26,STX Entertainment,P_dfc0iqmig
22,Midsommar,2019-09-26,A24,1Vnghdsjmd0
23,Roger Waters  Us + Them,2019-10-02,Trafalgar Releasing,ppisCJa7Mnc
24,Joker,2019-10-03,Warner Bros.,zAGVQLHvwOY
25,Playmobil: The Movie,2019-10-03,STX Entertainment,xgyP9GG9Ecw
26,Skin,2019-10-03,A24,a3CGU9pqMQU
27,Metallica & San Francisco Symphony: S&M2,2019-10-09,Trafalgar Releasing,yRCLe6_kBRc
28,Gemini Man,2019-10-10,Paramount,AbyJignbSj0
29,"Current War, The",2019-10-10,Independent,kue18AxK1tU
30,Driven,2019-10-10,Independent,WK82Y6TKHg8
31,Maleficent: Mistress Of Evil,2019-10-17,Disney,yL1f8yNxGBk
32,Abominable (2019),2019-10-17,Universal,OF5mVdYNutI
33,After The Wedding,2019-10-17,Sony Pictures Classics,22pa0wpGa9Q
34,10 Minutes Gone,2019-10-17,Independent,6TNFcyEN-3w
35,"Kill Team, The (2013)",2019-10-17,Oscilloscope Pictures,-RQb2z0oS10
36,Mutant Blast,2019-10-17,Troma Entertainment,al2ZhJzK1FU
37,"Rainy Day in New York, A",2019-10-24,MPI Media,yIVRldiVDL8
38,Zombieland: Double Tap,2019-10-24,Sony,ZlW9yhUKlkQ
39,Angel Of Mine,2019-10-24,Independent,G1BD8EgwmPA
40,Apollo 11,2019-10-24,Neon Rated,3Co8Z8BQgWc
41,Jesus Is King,2019-10-25,Imax,0xJrWOrCl80
42,Terminator: Dark Fate,2019-10-31,Paramount,oxy8udgWRmo
43,"Addams Family, The",2019-10-31,United Artists Releasing,c95edsw17QE
44,Doctor Sleep,2019-10-31,Warner Bros.,BOzFZxB-8cw
45,Wanda (1970),2019-10-31,Independent,Fl0PETEBBhY
46,Midway,2019-11-07,Lionsgate,l9laReRAYFk
47,Playing With Fire,2019-11-07,Paramount,fd5GlZUpfaM
48,Countdown (2019),2019-11-07,STX Entertainment,S6O4iy3Twwo
49,Light Of My Life,2019-11-07,Independent,PoHADU7Oe-g
50,League Of Legends World Championship 2019,2019-11-10,,i1IKnWDecwA
