Unnamed: 0,title,release_date,us_distributor,video_id
1,Scarface (1983),2023-03-23,Universal,ptQd6a9MbPA
2,Bigger Than Life,2023-03-23,20th Century Fox,ros2nu77iRc
3,Dungeons & Dragons: Honor Among Thieves,2023-03-30,Paramount,IiMinixSXII
4,White Elephant,2023-03-30,RLJ Entertainment,5zEPU7Ekz00
5,All the Beauty and the Bloodshed,2023-03-30,Neon Rated,kTKL5P_69e8
6,"Super Mario Bros. Movie, The",2023-04-05,Universal,TnGl01FkMMo
7,Lust For Life (1957),2023-04-06,MGM,c0Odg-GY40w
8,"Pope's Exorcist, The",2023-04-13,Sony,YJXqvnT_rsk
9,Beautiful Disaster (Vertical),2023-04-13,Vertical Entertainment,EMK3wy2563g
10,Air (2023),2023-04-13,MGM,Euy4Yu6B3nU
11,Metallica: 72 Seasons - Global Premiere,2023-04-13,Trafalgar Releasing,vkLxCFK5TyA
12,Blade Runner (1982),2023-04-13,Warner Bros.,gCcx85zbxz4
13,Once Upon A Time In America (1984),2023-04-13,Warner Bros.,PkXIl0-n-AY
14,Exodus (1961),2023-04-13,United Artists,KBzbyIPWVT4
15,"Miracle Worker, The",2023-04-13,United Artists,0XunbqzGpAI
16,Evil Dead Rise,2023-04-20,Warner Bros.,smTK_AeAPHs
17,2001: A Space Odyssey (Re: 2014),2023-04-20,Warner Bros.,XHjIqQBsPjk
18,War and Peace (1956),2023-04-20,Paramount,WJdaWKww60g
19,Citizen Kane (1941),2023-04-20,RKO Film,unOu9cyCZok
20,Cleopatra (1963),2023-04-20,20th Century Fox,hX9fxdDWRHA
21,Gone With The Wind (1939),2023-04-20,MGM,sbfSIWnWuU0
22,Renfield,2023-04-27,Universal,6LmO6rmDW08
23,On the Line (2022),2023-04-27,Eammon Films,0-1Yj5AlDcg
24,Guardians of the Galaxy Vol. 3,2023-05-04,Disney,Q47BYO7D4yw
25,Beau is Afraid,2023-05-04,A24,PuiWDn976Ek
26,Book Club: The Next Chapter,2023-05-11,Focus Features,i9k213d5FU0
27,Love Again,2023-05-11,Sony,CQDXtD2HJAs
28,Jeepers Creepers Reborn,2023-05-11,Fathom Entertainment,eNH2bRZ6gJw
29,Machine Gun Kelly: Mainstream Sellout Live From Cleveland,2023-05-13,Trafalgar Releasing,DXhLwM5yBnA
30,Fast X,2023-05-18,Universal,VVbIrBSlBvo
31,"Godfather: Part II (Re: 2014), The",2023-05-18,,MJadTdd5SKA
32,"Godfather Part III, The (1990) (re)",2023-05-18,,Td8eEM9KDig
33,Lost In Translation (2003),2023-05-18,Focus Features,SD1EB0dio34
34,"Little Mermaid, The",2023-05-25,Disney,kpGo2_d3oYE
35,Knights of the Zodiac,2023-05-25,Sony Independent Releasing,Sko0o_KoBHY
36,"Godfather, The (re)",2023-05-25,Paramount,TFyU-GzhKaM
37,Raging Bull (1980),2023-05-25,MGM,cmROy7GhOZU
38,TCM Presents E.T. The Extra-Terrestrial 35th Anniversary,2023-05-25,Fathom Entertainment,xtGhsTAUudM
39,Magnolia,2023-05-25,New Line Cinema,KnamcFv_N9Q
40,"Bridges of Madison County, The",2023-05-25,Warner Bros.,wJxkFKV_hyc
41,Spider-Man: Across The Spider-Verse,2023-06-01,Sony,shW9i6k8cB0
42,"Boogeyman, The",2023-06-01,20th Century Studios,cFqCmIU0-_M
43,Beetlejuice (1988),2023-06-01,Warner Bros.,ickbVzajrk0
44,Transformers: Rise of the Beasts,2023-06-08,Paramount,itnqEauWQZM
45,Marlowe,2023-06-08,Open Road/Briarcliff,brVF7t8VYuM
46,Interview With the Vampire (1994),2023-06-08,Warner Bros.,q8Oysn9I9K8
47,"Flash, The",2023-06-15,Warner Bros.,hebWYacbdvc
48,About My Father,2023-06-15,Lionsgate,txLSE7tpgr0
49,Abyzou,2023-06-15,Independent,hc7Q8NKjFk8
50,Wendy and Lucy (2008) (re),2023-06-16,,2YRXHWxxABQ
