Unnamed: 0,title,release_date,us_distributor,video_id
1,Hypnotic,2023-12-07,Emick,N-qn4h-amyY
2,Night of the Iguana (1964),2023-12-07,MGM,6DHgJ5eikaI
3,Seven Women,2023-12-07,MGM,pD0mFhMqDCE
4,Maestro,2023-12-07,Netflix,gJP2QblqLA0
5,Migration,2023-12-14,Universal,ItiZ_j-tu0I
6,Silent Night,2023-12-14,Lionsgate,yBnTqn0lBDA
7,All Fun and Games,2023-12-14,Vertical Entertainment,dI7n7So6sVA
8,Fool's Paradise,2023-12-14,Roadside Attractions,RaYKG5FMhNc
9,Aquaman and the Lost Kingdom,2023-12-21,Warner Bros.,UGc5Tzz19UY
10,Sound of Freedom,2023-12-21,Angel Studios,Rt0kp4VW1cI
11,It's a Wonderful Knife,2023-12-21,IFC Films,qs4EOJKfFeE
12,"Sociedad de la nieve, La",2023-12-21,Netflix,l9tP4M8URhQ
13,Anyone But You,2023-12-28,Sony,ESEc6W2h9_k
14,Next Goal Wins,2023-12-28,Searchlight,pRH5u5lpArQ
15,Doctor Dolittle,2023-12-28,20th Century Fox,bi1BbL9HinM
16,Ferrari,2024-01-04,Neon Rated,KZHxT2yb2cE
17,Night Swim,2024-01-04,Universal,pcSNqteCEtE
18,This Property Is Condemned,2024-01-04,Paramount,zyREPrVRkoI
19,"Fugitive Kind, The",2024-01-04,United Artists,AKQjnY0ZHJM
20,Mean Girls,2024-01-11,Paramount,fFtdbEgnUOk
21,"Beekeeper, The",2024-01-18,Amazon MGM Studios,SzINZZ6iqxY
22,White Bird,2024-01-18,Lionsgate,aTTPea6gHh4
23,Poor Things,2024-01-25,Searchlight,_klfx5sGzFk
24,Beautiful Wedding,2024-01-25,Fathom Entertainment,xO1FZJQmiAo
25,"Kill Room, The",2024-01-25,Blue Fox Entertainment,ORdhNaXSrGA
26,"Retirement Plan, The",2024-01-25,Falling Forward Films,i2Xc4qq-5Ww
27,On Fire,2024-01-25,Cinedigm Entertainment,MyOjzLEnxk8
28,Splendor In The Grass,2024-01-28,Warner Bros.,1lN2jgJRVzI
29,Argylle,2024-02-01,Universal,7mgu9mNZ8Hk
30,Supercell,2024-02-01,Independent,-22ISMHPK4A
31,Some Came Running (1958),2024-02-01,MGM,Qv0kz_NlsHQ
32,Past Lives,2024-02-08,A24,kA244xewjcI
33,"Color Purple, The",2024-02-08,Warner Bros.,wPwzBUui1GA
34,Consecration,2024-02-08,IFC Films,HRjG65M6L2c
35,Bob Marley: One Love,2024-02-14,Paramount,ajw425Kuvtw
36,Madame Web,2024-02-14,Sony,s_76M4c4LTo
37,"Holdovers, The",2024-02-14,Focus Features,AhKLpJmHhIg
38,"Favourite, The (2018) (re)",2024-02-18,,bnsKXB_5YIY
39,"Iron Claw, The",2024-02-22,A24,8KVsaoveTbw
40,Birth (2004),2024-02-25,New Line Cinema,3mZq5Cgey9A
41,Dune: Part Two,2024-02-29,Warner Bros.,Way9Dexny3w
42,Imaginary,2024-03-07,Lionsgate,8XoNfrgrAGM
43,Priscilla,2024-03-07,A24,DBWk6BohVXk
44,No Way Up,2024-03-07,IFC Films,PSEoAaSswgo
45,Kung Fu Panda 4,2024-03-14,Universal,_inKs4eeHiI
46,To Kill a Mockingbird (re 2010),2024-03-14,,5MTauicV2CI
47,Ghostbusters: Frozen Empire,2024-03-21,Sony,HpOBXh02rVc
48,Arthur the King,2024-03-21,Lionsgate,wjDJNEPghNY
49,"Bricklayer, The",2024-03-21,Vertical Entertainment,ayPesvG86gE
50,"Piper, The (dir. Thoroddsen)",2024-03-21,,
