Unnamed: 0,title,release_date,us_distributor,video_id
1,Land of Bad,2024-09-05,Variance Films,yTFazxfrXVw
2,Daddio,2024-09-05,Sony Pictures Classics,PJrr2amlFyc
3,East of Eden,2024-09-05,Warner Bros.,QQZ1Ti1g8gU
4,Rebel Without A Cause (1955),2024-09-05,Warner Bros.,HWHH5TwEwtI
5,Duck Soup,2024-09-05,Paramount,PjlmjL00VaA
6,Ruggles of Red Gap (re),2024-09-05,Independent,Y5TZkn00Az4
7,Speak No Evil,2024-09-12,Universal,FjzxI6uf8H8
8,Gun Monkeys,2024-09-12,Vertical Entertainment,_lAdLC8JPXk
9,Reality,2024-09-12,,plIUJ-LF7JU
10,Another Woman (1988),2024-09-12,Orion Pictures,DM7eQBhYhxE
11,USHER: Rendezvous in Paris,2024-09-12,Trafalgar Releasing,w0B9LkkJJb8
12,Giant (re),2024-09-12,Warner Bros.,F9cX1v9zLdU
13,Dead Poets Society,2024-09-18,Disney,I0-K5zYQHD8
14,Transformers One,2024-09-19,Paramount,u2NuUWuwPCM
15,Never Let Go,2024-09-19,Lionsgate,ZDfRp_ukHDU
16,Inland Empire (2006) (re),2024-09-22,Janus Films,nhJZpKRCdEQ
17,Super/Man: The Christopher Reeve Story,2024-09-25,Warner Bros.,gX-B3HMlMfY
18,Lee,2024-09-26,Roadside Attractions,DmFYkiUAAA8
19,Rob Peace,2024-09-26,Emick,bugi-UdtjzI
20,Joker: Folie à Deux,2024-10-03,Warner Bros.,_OKAwz2MsJs
21,Rope (re),2024-10-03,Universal,FaNa_OMhNn4
22,Zabriskie Point,2024-10-03,MGM,
23,"Wild Robot, The",2024-10-10,Universal,67vbA5ZJdKQ
24,Reagan,2024-10-10,Showbiz Direct Distribution,7IcAsIvzSaM
25,In a Violent Nature,2024-10-10,IFC Films,WyXuRmXbS7U
26,Funny Face (1957),2024-10-10,Paramount,mQEHrJ0B8Cg
27,"Man Who Knew Too Much, The (1956)",2024-10-10,Paramount,EsEHdlDLlOM
28,Love In The Afternoon,2024-10-10,Warner Bros.,sxRMITE_2mY
29,Something Wild,2024-10-10,,iXqagtRX4cU
30,Private Hell 36,2024-10-10,Independent,ES5k5j1zzSc
31,Smile 2,2024-10-17,Paramount,0HY6QFlBzUY
32,Megalopolis,2024-10-17,Lionsgate,pq6mvHZU0fc
33,"Bigamist, The (1953)",2024-10-17,Independent,TCCZcVp76N4
34,Nam June Paik: Moon is the Oldest TV,2024-10-22,Greenwich Entertainment,ACjYjYgdbO0
35,Venom: The Last Dance,2024-10-24,Sony,__2bjWbetsA
36,Goodrich,2024-10-24,Falling Forward Films,7OlyW0AqDQo
37,Anora,2024-10-31,Neon Rated,yWtzcjoUx7c
38,"Texas Chainsaw Massacre 50th Anniversary, The",2024-10-31,MPI Media,MDUDUgU9G1I
39,Rosemary's Baby (re: 2015),2024-10-31,,V6wWKNij_1M
40,Red One,2024-11-07,Amazon MGM Studios,U8XH3W0cMss
41,Conclave,2024-11-07,Focus Features,JX9jasdi3ic
42,Terrifier 3,2024-11-07,Iconic Events,zaPcin5knJk
43,Here After,2024-11-07,Independent,ukhI37_Z9XA
44,Gladiator II,2024-11-14,Paramount,4rgYUipGJNo
45,Heretic,2024-11-21,A24,O9i2vmFhSSY
46,Elevation,2024-11-21,Emick,ZivlF_UYkN0
47,Nuclear Now,2024-11-21,Abramorama,bF0gWjlEpgo
48,Placebo: This Search for Meaning,2024-11-21,Abramorama,9eFtsmydIyo
49,Vidro Fumê,2024-11-21,,_Czwou6UfAA
50,Platoon,2024-11-21,Orion Pictures,Wd2366guKHw
