Unnamed: 0,title,release_date,us_distributor,video_id
1,"Sex, Lies and Videotape",2022-05-23,Miramax,uajUDN4AiEM
2,"Conversation, The (1974) (re)",2022-05-24,Rialto,Q8TUSsqWCTM
3,Top Gun Maverick,2022-05-26,Paramount,qSqVVswa420
4,Marmaduke,2022-06-02,,wDXYjxxnALU
5,Gypsy Moon,2022-06-02,Screen Media Films,BkhqVckCqow
6,"Caja, La",2022-06-02,,HyPekwtu8OM
7,Jurassic World Dominion,2022-06-09,Universal,fb5ELWi-ekk
8,Lightyear,2022-06-16,Disney,9JyNLR3Xx5U
9,Elvis,2022-06-23,Warner Bros.,wBDLRvjHVOY
10,"Black Phone, The",2022-06-23,Universal,3eGP6im8AZA
11,Deadlock (2021),2022-06-23,Eammon Films,UoqRfsoa5c4
12,Minions: The Rise Of Gru,2022-06-30,Universal,CM-17oLBJ6U
13,Last Seen Alive,2022-06-30,Vertical Entertainment,5Gutb4hc5r4
14,Tokyo-ga,2022-07-01,Independent,8R6lVzHVduA
15,Thor: Love And Thunder,2022-07-07,Disney,zXLCPzB3kZo
16,Easy Rider (re),2022-07-09,Sony Repertory Pictures,RPf2D-N7sSs
17,"Gray Man, The",2022-07-14,Netflix,BmllggGO4pM
18,Black Site,2022-07-21,Vertical Entertainment,Gs9Z-XP57Hk
19,"Woman under the Influence, A",2022-07-21,Independent,iveJ7jFJHpI
20,Opening Night (1977) (re),2022-07-21,Castle Hill,EPPUltC2lys
21,"Killing Of A Chinese Bookie, The",2022-07-21,Independent,FW1tVczcuNI
22,Faces,2022-07-21,Independent,bv5zBu_-T5M
23,Shadows (1959),2022-07-21,Independent,jmPU97LOnEI
24,DC League of Super Pets,2022-07-28,Warner Bros.,1jkw2JPCl18
25,American Siege,2022-07-28,Vertical Entertainment,AdI6ea_0T0s
26,Book of Love,2022-07-28,,M_HTbI00qOU
27,Husbands (Re: 2012),2022-07-28,,A4U2pMRV9_k
28,Gloria (re: 2010),2022-07-28,,ahQ0jSZcOQA
29,Minnie And Moskowitz,2022-07-28,Universal,ADoVQQhRULc
30,Bullet Train,2022-08-04,Sony,0IOsk2Vlc4o
31,Men,2022-08-04,A24,pt81CJcWZy8
32,Easter Sunday,2022-08-04,Universal,YIixb42aJPg
33,"Witch, The (2016)",2022-08-09,A24,iQXmlf3Sefg
34,"Vigil, The",2022-08-11,IFC Films,YsMcckth7oU
35,Fortress: Sniper's Eye,2022-08-11,Lionsgate Premiere Releasing,uF4f_nlJpvY
36,Nope,2022-08-18,Universal,In8fuzj3gck
37,Blacklight,2022-08-18,Briarcliff,PE04ESdgnHI
38,My Fair Lady (1964),2022-08-18,Warner Bros.,ZJBM6qs22sE
39,TCM: An American In Paris,2022-08-18,Fathom Entertainment,liP7mRd8RWM
40,Singin' In The Rain (1952),2022-08-18,MGM,D-NJHUasYVA
41,"New York, New York (1977)",2022-08-18,United Artists,0uowV7Qf1yU
42,One From The Heart (1982),2022-08-18,Columbia,Q1uxAjXh2xo
43,South Pacific (1958),2022-08-18,20th Century Fox,ZIxADKeLI14
44,After Ever Happy (Event),2022-08-24,Fathom Entertainment,hLQ-5exgctI
45,Paradise Highway,2022-08-25,Lionsgate Premiere Releasing,zjv83li96BE
46,Beast,2022-09-01,Universal,oQMc7Sq36mI
47,Where The Crawdads Sing,2022-09-01,Sony,PY3808Iq0Tg
48,E.T. The Extra-Terrestrial (1982) (re: 2022),2022-09-01,,txhe4sat07Q
49,Jaws (1975),2022-09-08,Universal,wlZYnOLupYY
50,Vanishing Point (1971),2022-09-14,20th Century Fox,xYKsrEWIapc
