Unnamed: 0,title,release_date,us_distributor,video_id
1,"Lady From Shanghai, The",2024-03-21,Columbia,C_FTmZ0Y_hw
2,"Quiet American, The (1958) (re)",2024-03-21,,RPf2D-N7sSs
3,Forty Guns,2024-03-21,20th Century Fox,84ll1Dcu0rY
4,Godzilla x Kong: The New Empire,2024-03-28,Warner Bros.,lV1OOlGwExM
5,Immaculate,2024-03-28,Neon Rated,ewxS9Z-XXYo
6,Ordinary Angels,2024-03-28,Lionsgate,R1vn8kPgCYA
7,Strangers On A Train (1951) (re),2024-03-28,Warner Bros.,jrDxOb7auk4
8,Marnie (1964),2024-03-28,Universal,ocC0xfqP2RQ
9,Where The Sidewalk Ends,2024-03-28,20th Century Fox,CIucvAJNlSY
10,Man of the West (1958),2024-03-30,,2r-eQoHyLsQ
11,"First Omen, The",2024-04-04,20th Century Studios,lmN1Op8ygno
12,Monkey Man,2024-04-04,Universal,g8zxiB5Qhsc
13,Miller's Girl,2024-04-04,Lionsgate Premiere Releasing,vk2OJZHutBM
14,Sleeping Dogs,2024-04-11,Variance Films,9AFIutyHvKs
15,Pearl Jam - Dark Matter - Global Theatrical Experience - One Night Only,2024-04-16,Abramorama,sUQ87XiaUr4
16,Civil War,2024-04-18,A24,aDyQxtg0V2w
17,Cabrini,2024-04-18,Angel Studios,02S9IcBPefw
18,"Inventor, The",2024-04-18,Blue Fox Entertainment,Ez1NHnJrk2Y
19,Sympathy for the Devil,2024-04-18,IFC Films,ap8IKdWWHWw
20,On The Waterfront,2024-04-18,Columbia,y0u9F4PEOaU
21,Julius Caesar (1953),2024-04-18,MGM,
22,"Second Civil War, The",2024-04-18,,aDyQxtg0V2w
23,Challengers,2024-04-25,Amazon MGM Studios,VobTTbg-te0
24,Reflections In A Golden Eye,2024-04-25,Warner Bros.,6nV9y6I84CA
25,"Chase, The (1966)",2024-04-26,Columbia,NxG4xv3thRA
26,"Missouri Breaks, The (1976)",2024-04-28,United Artists,lqbn_ixTdw4
27,"Fall Guy, The",2024-05-01,Universal,j7jPnwVGdZ8
28,Tarot,2024-05-01,Sony,bvDArsKoTOE
29,Mothers' Instinct,2024-05-01,Neon Rated,4ltU9ooQ8x0
30,Soft & Quiet,2024-05-01,Momentum Pictures,9caXYrlADa0
31,Mutiny On The Bounty (1962),2024-05-02,MGM,uJ3quGpqqNg
32,Star Wars: Episode I - Phantom Menace (1999) (re),2024-05-04,20th Century Studios,oH96QbNKIcI
33,Kingdom of the Planet of the Apes,2024-05-09,20th Century Studios,XtFI7SNtVpY
34,Abigail,2024-05-09,Universal,3PsP8MFH8p0
35,"Couple, Un",2024-05-09,Zipporah,WouMCM1EsEE
36,IF (2024),2024-05-16,Paramount,mb2187ZQtBE
37,"Strangers: Chapter 1, The",2024-05-16,Lionsgate,3pZUQmZdOi4
38,Arcadian,2024-05-16,IFC Films,HNARuSROxbM
39,"Girl in the Backseat, The",2024-05-16,,-KrWYiM5WWc
40,"Garfield Movie, The",2024-05-23,Sony,IeFWNtMo1Fs
41,Furiosa: A Mad Max Saga,2024-05-23,Warner Bros.,XJMuhwVlca4
42,Queen Mary,2024-05-23,Vertical Entertainment,JJg9K716auA
43,Shanghai Express (1932),2024-05-23,Paramount,Nw6oPC2eghI
44,M. Butterfly,2024-05-23,Warner Bros.,ePw2msXf1Qs
45,Hit Man,2024-05-30,Netflix,0g4cJ4NE8HA
46,Origin,2024-05-30,Neon Rated,ytUyrTQJp8M
47,Children Of Men (2006) (re),2024-06-01,,FmSwAGkuXDY
48,Bad Boys: Ride or Die,2024-06-06,Sony,hRFY_Fesa9Q
49,"Watchers, The",2024-06-06,Warner Bros.,dYo91Fq9tKY
50,"Exorcism, The",2024-06-13,Emick,wCe2QqMNexM
